,Theta1,Theta2,Theta3,Power,Ancho_espectral
95,4.0,184.0,0,0.028084,71.5636363636363
96,4.0,188.0,0,0.02809375,71.73084112149536
97,4.0,192.0,0,0.028116,71.5636363636363
98,8.0,0.0,0,0.02818625,70.36533559898044
99,8.0,4.0,0,0.02817575,70.56040781648267
100,8.0,8.0,0,0.02815125,70.58827527612561
101,8.0,12.0,0,0.02811975,70.67187765505514
102,8.0,16.0,0,0.0280812,72.17672047578594
103,8.0,20.0,0,0.028052667,73.17994902293958
104,8.0,24.0,0,0.02808775,72.87340696686488
105,8.0,28.0,0,0.02819625,70.42107051826679
106,8.0,32.0,0,0.02829025,68.74902293967716
107,8.0,36.0,0,0.02832075,68.52608326253198
108,8.0,40.0,0,0.02831225,69.86372132540373
109,8.0,44.0,0,0.0282595,70.03092608326256
110,8.0,48.0,0,0.02822925,71.3685641461343
111,8.0,52.0,0,0.02811025,71.70297366185218
112,8.0,56.0,0,0.0279815,74.96346644010191
113,8.0,60.0,0,0.02802075,73.87663551401874
114,8.0,64.0,0,0.0279824,76.18963466440096
115,8.0,68.0,0,0.028047333,74.96346644010191
116,8.0,72.0,0,0.02795025,75.68802039082402
117,8.0,76.0,0,0.028163,68.88836023789281
118,8.0,80.0,0,0.0283915,63.00832625318617
119,8.0,84.0,0,0.02846825,62.70178419711124
120,8.0,88.0,0,0.0285535,58.21512319456224
121,8.0,92.0,0,0.0285705,58.63313508920987
122,8.0,96.0,0,0.02856575,58.883942225998226
123,8.0,100.0,0,0.0285575,59.05114698385728
124,8.0,104.0,0,0.02854425,58.99541206457093
125,8.0,108.0,0,0.0285705,60.16584536958362
126,8.0,112.0,0,0.0285476,60.11011045029727
127,8.0,116.0,0,0.028529667,61.33627867459654
128,8.0,120.0,0,0.0285355,62.450977060322884
129,8.0,124.0,0,0.02851475,66.3802888700086
130,8.0,128.0,0,0.028461,65.68360237892966
131,8.0,132.0,0,0.028343,65.96227697536096
132,8.0,136.0,0,0.02823075,68.99983007646574
133,8.0,140.0,0,0.0281385,72.31605777400182
134,8.0,144.0,0,0.02830775,68.08020390824117
135,8.0,148.0,0,0.028336,68.72115548003399
136,8.0,152.0,0,0.02815,72.92914188615123
137,8.0,156.0,0,0.02795,76.16176720475778
138,8.0,160.0,0,0.0278825,77.75021240441811
139,8.0,164.0,0,0.027892,77.16499575191165
140,8.0,168.0,0,0.02796,74.3503823279525
141,8.0,172.0,0,0.0280395,73.26355140186911
142,8.0,176.0,0,0.028093,72.56686491079017
143,8.0,180.0,0,0.028156,71.73084112149536
144,8.0,184.0,0,0.02822725,71.0341546304162
145,8.0,188.0,0,0.02832325,69.38997451146975
146,8.0,192.0,0,0.02839,68.49821580288881
147,12.0,0.0,0,0.028060333,73.79303313508922
148,12.0,4.0,0,0.02805525,73.90450297366192
149,12.0,8.0,0,0.02800975,74.68479184367038
150,12.0,12.0,0,0.02797825,75.35361087510614
151,12.0,16.0,0,0.02796475,74.85199660152944
152,12.0,20.0,0,0.02796,74.76839422259991
153,12.0,24.0,0,0.027985,74.60118946474086
154,12.0,28.0,0,0.0280725,73.09634664401005
155,12.0,32.0,0,0.0281875,70.9226847918435
156,12.0,36.0,0,0.02825425,68.97196261682234
157,12.0,40.0,0,0.0282585,70.19813084112138
158,12.0,44.0,0,0.028239,70.42107051826679
159,12.0,48.0,0,0.02820975,71.53576890399313
160,12.0,52.0,0,0.0282202,70.05879354290573
161,12.0,56.0,0,0.028088333,75.99456244689895
162,12.0,60.0,0,0.028253,66.71469838572648
163,12.0,64.0,0,0.02824975,72.48326253186065
164,12.0,68.0,0,0.028219,70.92268479184372
165,12.0,72.0,0,0.02793375,76.60764655904859
166,12.0,76.0,0,0.02792925,73.48649107901429
167,12.0,80.0,0,0.0283245,62.47884451996583
168,12.0,84.0,0,0.028466,61.47561597281242
169,12.0,88.0,0,0.02855475,58.7167374681394
170,12.0,92.0,0,0.0285775,58.29872557349199
171,12.0,96.0,0,0.02855975,58.85607476635528
172,12.0,100.0,0,0.0285544,58.85607476635505
173,12.0,104.0,0,0.02854125,58.800339847068926
174,12.0,108.0,0,0.028585667,58.15938827527634
175,12.0,112.0,0,0.0285815,58.828207306711874
176,12.0,116.0,0,0.02856175,60.58385726423103
177,12.0,120.0,0,0.02855275,61.97723024638913
178,12.0,124.0,0,0.028536,64.26236193712839
179,12.0,128.0,0,0.028542,65.54426508071379
180,12.0,132.0,0,0.0285145,63.06406117247229
