1511.600000,1.2650E-008,1511.600000,1.2650E-008,1511.600000,1.2650E-008
1511.650000,-2.5980E-008,1511.650000,-2.5980E-008,1511.650000,-2.5980E-008
1511.700000,2.1080E-008,1511.700000,2.1080E-008,1511.700000,2.1080E-008
1511.750000,5.3950E-008,1511.750000,5.3950E-008,1511.750000,5.3950E-008
1511.800000,5.0840E-008,1511.800000,5.0840E-008,1511.800000,5.0840E-008
1511.850000,7.2790E-009,1511.850000,7.2790E-009,1511.850000,7.2790E-009
1511.900000,1.5690E-008,1511.900000,1.5690E-008,1511.900000,1.5690E-008
1511.950000,-5.0690E-009,1511.950000,-5.0690E-009,1511.950000,-5.0690E-009
1512.000000,1.0620E-008,1512.000000,1.0620E-008,1512.000000,1.0620E-008
1512.050000,4.2180E-008,1512.050000,4.2180E-008,1512.050000,4.2180E-008
1512.100000,-8.1450E-009,1512.100000,-8.1450E-009,1512.100000,-8.1450E-009
1512.150000,-5.1880E-008,1512.150000,-5.1880E-008,1512.150000,-5.1880E-008
1512.200000,9.7430E-009,1512.200000,9.7430E-009,1512.200000,9.7430E-009
1512.250000,7.9080E-009,1512.250000,7.9080E-009,1512.250000,7.9080E-009
1512.300000,-1.4940E-008,1512.300000,-1.4940E-008,1512.300000,-1.4940E-008
1512.350000,2.1080E-008,1512.350000,2.1080E-008,1512.350000,2.1080E-008
1512.400000,8.4080E-008,1512.400000,8.4080E-008,1512.400000,8.4080E-008
1512.450000,-5.5150E-009,1512.450000,-5.5150E-009,1512.450000,-5.5150E-009
1512.500000,3.2730E-008,1512.500000,3.2730E-008,1512.500000,3.2730E-008
1512.550000,9.7360E-009,1512.550000,9.7360E-009,1512.550000,9.7360E-009
1512.600000,-1.5930E-008,1512.600000,-1.5930E-008,1512.600000,-1.5930E-008
1512.650000,1.0790E-009,1512.650000,1.0790E-009,1512.650000,1.0790E-009
1512.700000,-1.5660E-008,1512.700000,-1.5660E-008,1512.700000,-1.5660E-008
1512.750000,3.7290E-008,1512.750000,3.7290E-008,1512.750000,3.7290E-008
1512.800000,1.2530E-008,1512.800000,1.2530E-008,1512.800000,1.2530E-008
1512.850000,-7.9890E-010,1512.850000,-7.9890E-010,1512.850000,-7.9890E-010
1512.900000,5.3110E-008,1512.900000,5.3110E-008,1512.900000,5.3110E-008
1512.950000,2.2670E-009,1512.950000,2.2670E-009,1512.950000,2.2670E-009
1513.000000,2.2840E-008,1513.000000,2.2840E-008,1513.000000,2.2840E-008
1513.050000,2.9500E-008,1513.050000,2.9500E-008,1513.050000,2.9500E-008
1513.100000,-1.4770E-008,1513.100000,-1.4770E-008,1513.100000,-1.4770E-008
1513.150000,3.6930E-009,1513.150000,3.6930E-009,1513.150000,3.6930E-009
1513.200000,1.3040E-008,1513.200000,1.3040E-008,1513.200000,1.3040E-008
1513.250000,1.9240E-008,1513.250000,1.9240E-008,1513.250000,1.9240E-008
1513.300000,3.3800E-008,1513.300000,3.3800E-008,1513.300000,3.3800E-008
1513.350000,1.1930E-008,1513.350000,1.1930E-008,1513.350000,1.1930E-008
1513.400000,2.3760E-008,1513.400000,2.3760E-008,1513.400000,2.3760E-008
1513.450000,1.2290E-008,1513.450000,1.2290E-008,1513.450000,1.2290E-008
1513.500000,9.6910E-009,1513.500000,9.6910E-009,1513.500000,9.6910E-009
1513.550000,2.6250E-009,1513.550000,2.6250E-009,1513.550000,2.6250E-009
1513.600000,2.1770E-008,1513.600000,2.1770E-008,1513.600000,2.1770E-008
1513.650000,2.2180E-008,1513.650000,2.2180E-008,1513.650000,2.2180E-008
1513.700000,-8.9700E-009,1513.700000,-8.9700E-009,1513.700000,-8.9700E-009
1513.750000,-5.2730E-009,1513.750000,-5.2730E-009,1513.750000,-5.2730E-009
1513.800000,-1.2580E-008,1513.800000,-1.2580E-008,1513.800000,-1.2580E-008
1513.850000,1.4840E-008,1513.850000,1.4840E-008,1513.850000,1.4840E-008
1513.900000,8.7990E-009,1513.900000,8.7990E-009,1513.900000,8.7990E-009
1513.950000,8.4740E-009,1513.950000,8.4740E-009,1513.950000,8.4740E-009
1514.000000,5.7340E-008,1514.000000,5.7340E-008,1514.000000,5.7340E-008
1514.050000,-4.7130E-009,1514.050000,-4.7130E-009,1514.050000,-4.7130E-009
1514.100000,2.4180E-008,1514.100000,2.4180E-008,1514.100000,2.4180E-008
1514.150000,2.3320E-008,1514.150000,2.3320E-008,1514.150000,2.3320E-008
1514.200000,-2.7780E-008,1514.200000,-2.7780E-008,1514.200000,-2.7780E-008
1514.250000,-1.2650E-009,1514.250000,-1.2650E-009,1514.250000,-1.2650E-009
1514.300000,1.5100E-008,1514.300000,1.5100E-008,1514.300000,1.5100E-008
1514.350000,2.7480E-008,1514.350000,2.7480E-008,1514.350000,2.7480E-008
1514.400000,-3.3580E-008,1514.400000,-3.3580E-008,1514.400000,-3.3580E-008
1514.450000,3.1900E-008,1514.450000,3.1900E-008,1514.450000,3.1900E-008
1514.500000,-9.4120E-010,1514.500000,-9.4120E-010,1514.500000,-9.4120E-010
1514.550000,6.4500E-008,1514.550000,6.4500E-008,1514.550000,6.4500E-008
1514.600000,5.0210E-008,1514.600000,5.0210E-008,1514.600000,5.0210E-008
1514.650000,6.4580E-008,1514.650000,6.4580E-008,1514.650000,6.4580E-008
1514.700000,4.7950E-008,1514.700000,4.7950E-008,1514.700000,4.7950E-008
1514.750000,-3.2270E-008,1514.750000,-3.2270E-008,1514.750000,-3.2270E-008
1514.800000,-7.9240E-009,1514.800000,-7.9240E-009,1514.800000,-7.9240E-009
1514.850000,-1.2470E-008,1514.850000,-1.2470E-008,1514.850000,-1.2470E-008
1514.900000,-3.0950E-008,1514.900000,-3.0950E-008,1514.900000,-3.0950E-008
1514.950000,4.9890E-008,1514.950000,4.9890E-008,1514.950000,4.9890E-008
1515.000000,2.5020E-008,1515.000000,2.5020E-008,1515.000000,2.5020E-008
1515.050000,-9.5340E-010,1515.050000,-9.5340E-010,1515.050000,-9.5340E-010
1515.100000,-3.0970E-008,1515.100000,-3.0970E-008,1515.100000,-3.0970E-008
1515.150000,6.0350E-008,1515.150000,6.0350E-008,1515.150000,6.0350E-008
1515.200000,-3.3170E-008,1515.200000,-3.3170E-008,1515.200000,-3.3170E-008
1515.250000,5.7950E-008,1515.250000,5.7950E-008,1515.250000,5.7950E-008
1515.300000,-3.0670E-009,1515.300000,-3.0670E-009,1515.300000,-3.0670E-009
1515.350000,-4.2980E-008,1515.350000,-4.2980E-008,1515.350000,-4.2980E-008
1515.400000,8.1020E-008,1515.400000,8.1020E-008,1515.400000,8.1020E-008
1515.450000,2.0580E-008,1515.450000,2.0580E-008,1515.450000,2.0580E-008
1515.500000,3.8280E-009,1515.500000,3.8280E-009,1515.500000,3.8280E-009
1515.550000,2.4410E-008,1515.550000,2.4410E-008,1515.550000,2.4410E-008
1515.600000,3.0930E-008,1515.600000,3.0930E-008,1515.600000,3.0930E-008
1515.650000,6.6940E-009,1515.650000,6.6940E-009,1515.650000,6.6940E-009
1515.700000,7.3340E-008,1515.700000,7.3340E-008,1515.700000,7.3340E-008
1515.750000,-2.4510E-008,1515.750000,-2.4510E-008,1515.750000,-2.4510E-008
1515.800000,1.5980E-008,1515.800000,1.5980E-008,1515.800000,1.5980E-008
1515.850000,1.5940E-009,1515.850000,1.5940E-009,1515.850000,1.5940E-009
1515.900000,3.6890E-008,1515.900000,3.6890E-008,1515.900000,3.6890E-008
1515.950000,2.2830E-008,1515.950000,2.2830E-008,1515.950000,2.2830E-008
1516.000000,4.1190E-008,1516.000000,4.1190E-008,1516.000000,4.1190E-008
1516.050000,3.6630E-008,1516.050000,3.6630E-008,1516.050000,3.6630E-008
1516.100000,-7.3090E-009,1516.100000,-7.3090E-009,1516.100000,-7.3090E-009
1516.150000,3.0760E-008,1516.150000,3.0760E-008,1516.150000,3.0760E-008
1516.200000,2.8880E-008,1516.200000,2.8880E-008,1516.200000,2.8880E-008
1516.250000,-2.0460E-008,1516.250000,-2.0460E-008,1516.250000,-2.0460E-008
1516.300000,3.7700E-009,1516.300000,3.7700E-009,1516.300000,3.7700E-009
1516.350000,1.6370E-008,1516.350000,1.6370E-008,1516.350000,1.6370E-008
1516.400000,4.2010E-008,1516.400000,4.2010E-008,1516.400000,4.2010E-008
1516.450000,6.0870E-010,1516.450000,6.0870E-010,1516.450000,6.0870E-010
1516.500000,3.3360E-009,1516.500000,3.3360E-009,1516.500000,3.3360E-009
1516.550000,6.6260E-008,1516.550000,6.6260E-008,1516.550000,6.6260E-008
1516.600000,-1.4040E-008,1516.600000,-1.4040E-008,1516.600000,-1.4040E-008
1516.650000,2.5820E-008,1516.650000,2.5820E-008,1516.650000,2.5820E-008
1516.700000,-3.4620E-008,1516.700000,-3.4620E-008,1516.700000,-3.4620E-008
1516.750000,-3.6410E-009,1516.750000,-3.6410E-009,1516.750000,-3.6410E-009
1516.800000,2.9000E-008,1516.800000,2.9000E-008,1516.800000,2.9000E-008
1516.850000,1.6190E-009,1516.850000,1.6190E-009,1516.850000,1.6190E-009
1516.900000,-3.1210E-008,1516.900000,-3.1210E-008,1516.900000,-3.1210E-008
1516.950000,3.1150E-008,1516.950000,3.1150E-008,1516.950000,3.1150E-008
1517.000000,7.7160E-008,1517.000000,7.7160E-008,1517.000000,7.7160E-008
1517.050000,5.5210E-008,1517.050000,5.5210E-008,1517.050000,5.5210E-008
1517.100000,3.3970E-008,1517.100000,3.3970E-008,1517.100000,3.3970E-008
1517.150000,1.3080E-008,1517.150000,1.3080E-008,1517.150000,1.3080E-008
1517.200000,1.8970E-008,1517.200000,1.8970E-008,1517.200000,1.8970E-008
1517.250000,4.3740E-008,1517.250000,4.3740E-008,1517.250000,4.3740E-008
1517.300000,2.3830E-008,1517.300000,2.3830E-008,1517.300000,2.3830E-008
1517.350000,3.5010E-008,1517.350000,3.5010E-008,1517.350000,3.5010E-008
1517.400000,2.7030E-008,1517.400000,2.7030E-008,1517.400000,2.7030E-008
1517.450000,1.2910E-008,1517.450000,1.2910E-008,1517.450000,1.2910E-008
1517.500000,3.2300E-008,1517.500000,3.2300E-008,1517.500000,3.2300E-008
1517.550000,3.2000E-008,1517.550000,3.2000E-008,1517.550000,3.2000E-008
1517.600000,5.6010E-008,1517.600000,5.6010E-008,1517.600000,5.6010E-008
1517.650000,-1.8200E-008,1517.650000,-1.8200E-008,1517.650000,-1.8200E-008
1517.700000,-4.6250E-009,1517.700000,-4.6250E-009,1517.700000,-4.6250E-009
1517.750000,3.5300E-008,1517.750000,3.5300E-008,1517.750000,3.5300E-008
1517.800000,-6.8360E-009,1517.800000,-6.8360E-009,1517.800000,-6.8360E-009
1517.850000,4.6150E-009,1517.850000,4.6150E-009,1517.850000,4.6150E-009
1517.900000,-1.1140E-008,1517.900000,-1.1140E-008,1517.900000,-1.1140E-008
1517.950000,6.8370E-009,1517.950000,6.8370E-009,1517.950000,6.8370E-009
1518.000000,3.4530E-008,1518.000000,3.4530E-008,1518.000000,3.4530E-008
1518.050000,5.1930E-009,1518.050000,5.1930E-009,1518.050000,5.1930E-009
1518.100000,1.3680E-008,1518.100000,1.3680E-008,1518.100000,1.3680E-008
1518.150000,2.0290E-008,1518.150000,2.0290E-008,1518.150000,2.0290E-008
1518.200000,2.5620E-008,1518.200000,2.5620E-008,1518.200000,2.5620E-008
1518.250000,-4.3560E-011,1518.250000,-4.3560E-011,1518.250000,-4.3560E-011
1518.300000,6.8000E-008,1518.300000,6.8000E-008,1518.300000,6.8000E-008
1518.350000,2.7560E-009,1518.350000,2.7560E-009,1518.350000,2.7560E-009
1518.400000,5.4590E-008,1518.400000,5.4590E-008,1518.400000,5.4590E-008
1518.450000,-2.8240E-008,1518.450000,-2.8240E-008,1518.450000,-2.8240E-008
1518.500000,3.3050E-008,1518.500000,3.3050E-008,1518.500000,3.3050E-008
1518.550000,1.9420E-008,1518.550000,1.9420E-008,1518.550000,1.9420E-008
1518.600000,-3.7160E-008,1518.600000,-3.7160E-008,1518.600000,-3.7160E-008
1518.650000,1.2690E-008,1518.650000,1.2690E-008,1518.650000,1.2690E-008
1518.700000,3.6200E-008,1518.700000,3.6200E-008,1518.700000,3.6200E-008
1518.750000,4.6560E-008,1518.750000,4.6560E-008,1518.750000,4.6560E-008
1518.800000,5.1310E-008,1518.800000,5.1310E-008,1518.800000,5.1310E-008
1518.850000,2.5790E-008,1518.850000,2.5790E-008,1518.850000,2.5790E-008
1518.900000,1.1350E-008,1518.900000,1.1350E-008,1518.900000,1.1350E-008
1518.950000,3.5860E-008,1518.950000,3.5860E-008,1518.950000,3.5860E-008
1519.000000,4.9370E-008,1519.000000,4.9370E-008,1519.000000,4.9370E-008
1519.050000,-3.3770E-008,1519.050000,-3.3770E-008,1519.050000,-3.3770E-008
1519.100000,-8.1030E-009,1519.100000,-8.1030E-009,1519.100000,-8.1030E-009
1519.150000,5.1730E-009,1519.150000,5.1730E-009,1519.150000,5.1730E-009
1519.200000,-7.9180E-009,1519.200000,-7.9180E-009,1519.200000,-7.9180E-009
1519.250000,3.7220E-008,1519.250000,3.7220E-008,1519.250000,3.7220E-008
1519.300000,-5.1620E-009,1519.300000,-5.1620E-009,1519.300000,-5.1620E-009
1519.350000,-8.8440E-009,1519.350000,-8.8440E-009,1519.350000,-8.8440E-009
1519.400000,1.0920E-008,1519.400000,1.0920E-008,1519.400000,1.0920E-008
1519.450000,-4.3230E-009,1519.450000,-4.3230E-009,1519.450000,-4.3230E-009
1519.500000,1.1790E-008,1519.500000,1.1790E-008,1519.500000,1.1790E-008
1519.550000,1.0520E-008,1519.550000,1.0520E-008,1519.550000,1.0520E-008
1519.600000,2.6860E-008,1519.600000,2.6860E-008,1519.600000,2.6860E-008
1519.650000,6.2090E-008,1519.650000,6.2090E-008,1519.650000,6.2090E-008
1519.700000,1.5670E-009,1519.700000,1.5670E-009,1519.700000,1.5670E-009
1519.750000,3.2070E-008,1519.750000,3.2070E-008,1519.750000,3.2070E-008
1519.800000,3.2750E-008,1519.800000,3.2750E-008,1519.800000,3.2750E-008
1519.850000,-2.4170E-009,1519.850000,-2.4170E-009,1519.850000,-2.4170E-009
1519.900000,4.9300E-008,1519.900000,4.9300E-008,1519.900000,4.9300E-008
1519.950000,6.5700E-008,1519.950000,6.5700E-008,1519.950000,6.5700E-008
1520.000000,4.8020E-008,1520.000000,4.8020E-008,1520.000000,4.8020E-008
1520.050000,2.6800E-008,1520.050000,2.6800E-008,1520.050000,2.6800E-008
1520.100000,4.0290E-010,1520.100000,4.0290E-010,1520.100000,4.0290E-010
1520.150000,1.8700E-008,1520.150000,1.8700E-008,1520.150000,1.8700E-008
1520.200000,1.0810E-008,1520.200000,1.0810E-008,1520.200000,1.0810E-008
1520.250000,-9.8830E-009,1520.250000,-9.8830E-009,1520.250000,-9.8830E-009
1520.300000,-5.4990E-009,1520.300000,-5.4990E-009,1520.300000,-5.4990E-009
1520.350000,-8.2770E-010,1520.350000,-8.2770E-010,1520.350000,-8.2770E-010
1520.400000,-6.9810E-009,1520.400000,-6.9810E-009,1520.400000,-6.9810E-009
1520.450000,7.5330E-008,1520.450000,7.5330E-008,1520.450000,7.5330E-008
1520.500000,5.0690E-008,1520.500000,5.0690E-008,1520.500000,5.0690E-008
1520.550000,6.9780E-008,1520.550000,6.9780E-008,1520.550000,6.9780E-008
1520.600000,5.1130E-008,1520.600000,5.1130E-008,1520.600000,5.1130E-008
1520.650000,2.2110E-009,1520.650000,2.2110E-009,1520.650000,2.2110E-009
1520.700000,3.7060E-008,1520.700000,3.7060E-008,1520.700000,3.7060E-008
1520.750000,5.0720E-008,1520.750000,5.0720E-008,1520.750000,5.0720E-008
1520.800000,2.1270E-008,1520.800000,2.1270E-008,1520.800000,2.1270E-008
1520.850000,1.6480E-008,1520.850000,1.6480E-008,1520.850000,1.6480E-008
1520.900000,2.0140E-008,1520.900000,2.0140E-008,1520.900000,2.0140E-008
1520.950000,2.3890E-008,1520.950000,2.3890E-008,1520.950000,2.3890E-008
1521.000000,-3.4850E-010,1521.000000,-3.4850E-010,1521.000000,-3.4850E-010
1521.050000,2.7140E-008,1521.050000,2.7140E-008,1521.050000,2.7140E-008
1521.100000,3.4390E-008,1521.100000,3.4390E-008,1521.100000,3.4390E-008
1521.150000,4.0850E-008,1521.150000,4.0850E-008,1521.150000,4.0850E-008
1521.200000,9.0430E-008,1521.200000,9.0430E-008,1521.200000,9.0430E-008
1521.250000,2.8250E-008,1521.250000,2.8250E-008,1521.250000,2.8250E-008
1521.300000,3.3770E-010,1521.300000,3.3770E-010,1521.300000,3.3770E-010
1521.350000,8.2910E-009,1521.350000,8.2910E-009,1521.350000,8.2910E-009
