1508.350000,7.6120E-009,1508.350000,7.6120E-009,1508.350000,7.6120E-009
1508.400000,1.1500E-008,1508.400000,1.1500E-008,1508.400000,1.1500E-008
1508.450000,-1.5160E-008,1508.450000,-1.5160E-008,1508.450000,-1.5160E-008
1508.500000,2.4600E-008,1508.500000,2.4600E-008,1508.500000,2.4600E-008
1508.550000,5.3670E-008,1508.550000,5.3670E-008,1508.550000,5.3670E-008
1508.600000,2.9100E-008,1508.600000,2.9100E-008,1508.600000,2.9100E-008
1508.650000,9.8450E-009,1508.650000,9.8450E-009,1508.650000,9.8450E-009
1508.700000,1.3810E-008,1508.700000,1.3810E-008,1508.700000,1.3810E-008
1508.750000,-4.6940E-008,1508.750000,-4.6940E-008,1508.750000,-4.6940E-008
1508.800000,-5.7130E-008,1508.800000,-5.7130E-008,1508.800000,-5.7130E-008
1508.850000,3.1550E-008,1508.850000,3.1550E-008,1508.850000,3.1550E-008
1508.900000,-1.5820E-008,1508.900000,-1.5820E-008,1508.900000,-1.5820E-008
1508.950000,1.8520E-008,1508.950000,1.8520E-008,1508.950000,1.8520E-008
1509.000000,2.2950E-008,1509.000000,2.2950E-008,1509.000000,2.2950E-008
1509.050000,-5.1360E-009,1509.050000,-5.1360E-009,1509.050000,-5.1360E-009
1509.100000,1.6370E-008,1509.100000,1.6370E-008,1509.100000,1.6370E-008
1509.150000,3.3630E-008,1509.150000,3.3630E-008,1509.150000,3.3630E-008
1509.200000,-7.0940E-009,1509.200000,-7.0940E-009,1509.200000,-7.0940E-009
1509.250000,5.1900E-008,1509.250000,5.1900E-008,1509.250000,5.1900E-008
1509.300000,4.1050E-008,1509.300000,4.1050E-008,1509.300000,4.1050E-008
1509.350000,-2.7390E-008,1509.350000,-2.7390E-008,1509.350000,-2.7390E-008
1509.400000,2.2470E-008,1509.400000,2.2470E-008,1509.400000,2.2470E-008
1509.450000,5.9930E-008,1509.450000,5.9930E-008,1509.450000,5.9930E-008
1509.500000,-2.2380E-008,1509.500000,-2.2380E-008,1509.500000,-2.2380E-008
1509.550000,-5.0320E-009,1509.550000,-5.0320E-009,1509.550000,-5.0320E-009
1509.600000,1.8710E-008,1509.600000,1.8710E-008,1509.600000,1.8710E-008
1509.650000,8.1210E-009,1509.650000,8.1210E-009,1509.650000,8.1210E-009
1509.700000,3.5650E-008,1509.700000,3.5650E-008,1509.700000,3.5650E-008
1509.750000,9.4120E-009,1509.750000,9.4120E-009,1509.750000,9.4120E-009
1509.800000,-6.3460E-010,1509.800000,-6.3460E-010,1509.800000,-6.3460E-010
1509.850000,-2.0970E-009,1509.850000,-2.0970E-009,1509.850000,-2.0970E-009
1509.900000,-1.3770E-008,1509.900000,-1.3770E-008,1509.900000,-1.3770E-008
1509.950000,1.1880E-008,1509.950000,1.1880E-008,1509.950000,1.1880E-008
1510.000000,2.3000E-008,1510.000000,2.3000E-008,1510.000000,2.3000E-008
1510.050000,2.7220E-008,1510.050000,2.7220E-008,1510.050000,2.7220E-008
1510.100000,1.4740E-008,1510.100000,1.4740E-008,1510.100000,1.4740E-008
1510.150000,-1.8970E-008,1510.150000,-1.8970E-008,1510.150000,-1.8970E-008
1510.200000,3.8740E-009,1510.200000,3.8740E-009,1510.200000,3.8740E-009
1510.250000,-4.6920E-008,1510.250000,-4.6920E-008,1510.250000,-4.6920E-008
1510.300000,-2.2860E-008,1510.300000,-2.2860E-008,1510.300000,-2.2860E-008
1510.350000,-1.0690E-008,1510.350000,-1.0690E-008,1510.350000,-1.0690E-008
1510.400000,5.1010E-008,1510.400000,5.1010E-008,1510.400000,5.1010E-008
1510.450000,4.8880E-009,1510.450000,4.8880E-009,1510.450000,4.8880E-009
1510.500000,2.2950E-008,1510.500000,2.2950E-008,1510.500000,2.2950E-008
1510.550000,4.7050E-009,1510.550000,4.7050E-009,1510.550000,4.7050E-009
1510.600000,4.2360E-008,1510.600000,4.2360E-008,1510.600000,4.2360E-008
1510.650000,1.5500E-008,1510.650000,1.5500E-008,1510.650000,1.5500E-008
1510.700000,1.9500E-008,1510.700000,1.9500E-008,1510.700000,1.9500E-008
1510.750000,3.0450E-008,1510.750000,3.0450E-008,1510.750000,3.0450E-008
1510.800000,3.9920E-008,1510.800000,3.9920E-008,1510.800000,3.9920E-008
1510.850000,-4.1690E-008,1510.850000,-4.1690E-008,1510.850000,-4.1690E-008
1510.900000,6.1770E-008,1510.900000,6.1770E-008,1510.900000,6.1770E-008
1510.950000,3.3500E-008,1510.950000,3.3500E-008,1510.950000,3.3500E-008
1511.000000,-8.2310E-009,1511.000000,-8.2310E-009,1511.000000,-8.2310E-009
1511.050000,-5.3800E-008,1511.050000,-5.3800E-008,1511.050000,-5.3800E-008
1511.100000,3.8640E-008,1511.100000,3.8640E-008,1511.100000,3.8640E-008
1511.150000,3.3400E-010,1511.150000,3.3400E-010,1511.150000,3.3400E-010
1511.200000,3.5990E-008,1511.200000,3.5990E-008,1511.200000,3.5990E-008
1511.250000,-1.4120E-008,1511.250000,-1.4120E-008,1511.250000,-1.4120E-008
1511.300000,-3.9760E-009,1511.300000,-3.9760E-009,1511.300000,-3.9760E-009
1511.350000,-4.3830E-008,1511.350000,-4.3830E-008,1511.350000,-4.3830E-008
1511.400000,4.2860E-008,1511.400000,4.2860E-008,1511.400000,4.2860E-008
1511.450000,-1.6360E-008,1511.450000,-1.6360E-008,1511.450000,-1.6360E-008
1511.500000,2.0360E-009,1511.500000,2.0360E-009,1511.500000,2.0360E-009
1511.550000,-7.1450E-008,1511.550000,-7.1450E-008,1511.550000,-7.1450E-008
1511.600000,1.5290E-008,1511.600000,1.5290E-008,1511.600000,1.5290E-008
1511.650000,2.7700E-008,1511.650000,2.7700E-008,1511.650000,2.7700E-008
1511.700000,-2.4690E-008,1511.700000,-2.4690E-008,1511.700000,-2.4690E-008
1511.750000,1.7820E-008,1511.750000,1.7820E-008,1511.750000,1.7820E-008
1511.800000,-6.1140E-009,1511.800000,-6.1140E-009,1511.800000,-6.1140E-009
1511.850000,5.2180E-008,1511.850000,5.2180E-008,1511.850000,5.2180E-008
1511.900000,6.0080E-008,1511.900000,6.0080E-008,1511.900000,6.0080E-008
1511.950000,2.7640E-008,1511.950000,2.7640E-008,1511.950000,2.7640E-008
1512.000000,5.0490E-008,1512.000000,5.0490E-008,1512.000000,5.0490E-008
1512.050000,3.6350E-008,1512.050000,3.6350E-008,1512.050000,3.6350E-008
1512.100000,3.8060E-008,1512.100000,3.8060E-008,1512.100000,3.8060E-008
1512.150000,-4.4120E-009,1512.150000,-4.4120E-009,1512.150000,-4.4120E-009
1512.200000,9.0410E-009,1512.200000,9.0410E-009,1512.200000,9.0410E-009
1512.250000,4.8410E-008,1512.250000,4.8410E-008,1512.250000,4.8410E-008
1512.300000,3.6570E-008,1512.300000,3.6570E-008,1512.300000,3.6570E-008
1512.350000,3.0630E-008,1512.350000,3.0630E-008,1512.350000,3.0630E-008
1512.400000,-1.9580E-008,1512.400000,-1.9580E-008,1512.400000,-1.9580E-008
1512.450000,1.2390E-008,1512.450000,1.2390E-008,1512.450000,1.2390E-008
1512.500000,-5.5990E-008,1512.500000,-5.5990E-008,1512.500000,-5.5990E-008
1512.550000,1.3910E-009,1512.550000,1.3910E-009,1512.550000,1.3910E-009
1512.600000,2.1590E-008,1512.600000,2.1590E-008,1512.600000,2.1590E-008
1512.650000,3.6690E-009,1512.650000,3.6690E-009,1512.650000,3.6690E-009
1512.700000,4.2030E-008,1512.700000,4.2030E-008,1512.700000,4.2030E-008
1512.750000,-1.5850E-008,1512.750000,-1.5850E-008,1512.750000,-1.5850E-008
1512.800000,-5.6350E-009,1512.800000,-5.6350E-009,1512.800000,-5.6350E-009
1512.850000,1.9270E-008,1512.850000,1.9270E-008,1512.850000,1.9270E-008
1512.900000,2.0470E-008,1512.900000,2.0470E-008,1512.900000,2.0470E-008
1512.950000,8.5830E-009,1512.950000,8.5830E-009,1512.950000,8.5830E-009
1513.000000,-1.4240E-008,1513.000000,-1.4240E-008,1513.000000,-1.4240E-008
1513.050000,8.3470E-009,1513.050000,8.3470E-009,1513.050000,8.3470E-009
1513.100000,3.9330E-008,1513.100000,3.9330E-008,1513.100000,3.9330E-008
1513.150000,9.5360E-009,1513.150000,9.5360E-009,1513.150000,9.5360E-009
1513.200000,3.6480E-008,1513.200000,3.6480E-008,1513.200000,3.6480E-008
1513.250000,2.2720E-008,1513.250000,2.2720E-008,1513.250000,2.2720E-008
1513.300000,2.7280E-008,1513.300000,2.7280E-008,1513.300000,2.7280E-008
1513.350000,3.1840E-008,1513.350000,3.1840E-008,1513.350000,3.1840E-008
1513.400000,-2.8510E-008,1513.400000,-2.8510E-008,1513.400000,-2.8510E-008
1513.450000,1.2420E-008,1513.450000,1.2420E-008,1513.450000,1.2420E-008
1513.500000,1.8620E-008,1513.500000,1.8620E-008,1513.500000,1.8620E-008
1513.550000,5.6290E-008,1513.550000,5.6290E-008,1513.550000,5.6290E-008
1513.600000,-1.2310E-008,1513.600000,-1.2310E-008,1513.600000,-1.2310E-008
1513.650000,5.0480E-008,1513.650000,5.0480E-008,1513.650000,5.0480E-008
1513.700000,4.8430E-008,1513.700000,4.8430E-008,1513.700000,4.8430E-008
1513.750000,1.0110E-008,1513.750000,1.0110E-008,1513.750000,1.0110E-008
1513.800000,1.2690E-008,1513.800000,1.2690E-008,1513.800000,1.2690E-008
1513.850000,6.1630E-008,1513.850000,6.1630E-008,1513.850000,6.1630E-008
1513.900000,2.1210E-008,1513.900000,2.1210E-008,1513.900000,2.1210E-008
1513.950000,1.3190E-008,1513.950000,1.3190E-008,1513.950000,1.3190E-008
1514.000000,-7.6540E-009,1514.000000,-7.6540E-009,1514.000000,-7.6540E-009
1514.050000,1.6610E-008,1514.050000,1.6610E-008,1514.050000,1.6610E-008
1514.100000,1.8260E-008,1514.100000,1.8260E-008,1514.100000,1.8260E-008
1514.150000,-6.6600E-009,1514.150000,-6.6600E-009,1514.150000,-6.6600E-009
1514.200000,5.2230E-008,1514.200000,5.2230E-008,1514.200000,5.2230E-008
1514.250000,4.1000E-008,1514.250000,4.1000E-008,1514.250000,4.1000E-008
1514.300000,2.5900E-008,1514.300000,2.5900E-008,1514.300000,2.5900E-008
1514.350000,3.4170E-008,1514.350000,3.4170E-008,1514.350000,3.4170E-008
1514.400000,-1.5670E-009,1514.400000,-1.5670E-009,1514.400000,-1.5670E-009
1514.450000,3.1650E-008,1514.450000,3.1650E-008,1514.450000,3.1650E-008
1514.500000,1.0530E-008,1514.500000,1.0530E-008,1514.500000,1.0530E-008
1514.550000,3.6660E-008,1514.550000,3.6660E-008,1514.550000,3.6660E-008
1514.600000,4.4280E-008,1514.600000,4.4280E-008,1514.600000,4.4280E-008
1514.650000,1.1520E-008,1514.650000,1.1520E-008,1514.650000,1.1520E-008
1514.700000,7.8390E-008,1514.700000,7.8390E-008,1514.700000,7.8390E-008
1514.750000,-1.5000E-008,1514.750000,-1.5000E-008,1514.750000,-1.5000E-008
1514.800000,6.2660E-008,1514.800000,6.2660E-008,1514.800000,6.2660E-008
1514.850000,2.4820E-008,1514.850000,2.4820E-008,1514.850000,2.4820E-008
1514.900000,-7.7970E-009,1514.900000,-7.7970E-009,1514.900000,-7.7970E-009
1514.950000,3.0390E-008,1514.950000,3.0390E-008,1514.950000,3.0390E-008
1515.000000,4.5890E-008,1515.000000,4.5890E-008,1515.000000,4.5890E-008
1515.050000,-8.1800E-009,1515.050000,-8.1800E-009,1515.050000,-8.1800E-009
1515.100000,4.5660E-008,1515.100000,4.5660E-008,1515.100000,4.5660E-008
1515.150000,-9.9720E-009,1515.150000,-9.9720E-009,1515.150000,-9.9720E-009
1515.200000,6.2010E-008,1515.200000,6.2010E-008,1515.200000,6.2010E-008
1515.250000,1.5660E-008,1515.250000,1.5660E-008,1515.250000,1.5660E-008
1515.300000,4.2790E-008,1515.300000,4.2790E-008,1515.300000,4.2790E-008
1515.350000,3.2720E-008,1515.350000,3.2720E-008,1515.350000,3.2720E-008
1515.400000,6.6630E-008,1515.400000,6.6630E-008,1515.400000,6.6630E-008
1515.450000,6.3610E-008,1515.450000,6.3610E-008,1515.450000,6.3610E-008
1515.500000,4.9300E-008,1515.500000,4.9300E-008,1515.500000,4.9300E-008
1515.550000,-3.1630E-008,1515.550000,-3.1630E-008,1515.550000,-3.1630E-008
1515.600000,1.0350E-008,1515.600000,1.0350E-008,1515.600000,1.0350E-008
1515.650000,2.1190E-008,1515.650000,2.1190E-008,1515.650000,2.1190E-008
1515.700000,5.3990E-008,1515.700000,5.3990E-008,1515.700000,5.3990E-008
1515.750000,2.4730E-008,1515.750000,2.4730E-008,1515.750000,2.4730E-008
1515.800000,4.2490E-008,1515.800000,4.2490E-008,1515.800000,4.2490E-008
1515.850000,7.5800E-008,1515.850000,7.5800E-008,1515.850000,7.5800E-008
1515.900000,2.7510E-008,1515.900000,2.7510E-008,1515.900000,2.7510E-008
1515.950000,2.6100E-008,1515.950000,2.6100E-008,1515.950000,2.6100E-008
1516.000000,-1.1450E-008,1516.000000,-1.1450E-008,1516.000000,-1.1450E-008
1516.050000,3.3940E-008,1516.050000,3.3940E-008,1516.050000,3.3940E-008
1516.100000,1.7510E-008,1516.100000,1.7510E-008,1516.100000,1.7510E-008
1516.150000,1.7340E-008,1516.150000,1.7340E-008,1516.150000,1.7340E-008
1516.200000,5.2790E-008,1516.200000,5.2790E-008,1516.200000,5.2790E-008
1516.250000,2.2550E-008,1516.250000,2.2550E-008,1516.250000,2.2550E-008
1516.300000,2.9330E-010,1516.300000,2.9330E-010,1516.300000,2.9330E-010
1516.350000,1.6090E-008,1516.350000,1.6090E-008,1516.350000,1.6090E-008
1516.400000,2.7390E-008,1516.400000,2.7390E-008,1516.400000,2.7390E-008
1516.450000,6.1620E-008,1516.450000,6.1620E-008,1516.450000,6.1620E-008
1516.500000,4.3140E-008,1516.500000,4.3140E-008,1516.500000,4.3140E-008
1516.550000,3.7600E-009,1516.550000,3.7600E-009,1516.550000,3.7600E-009
1516.600000,1.9660E-008,1516.600000,1.9660E-008,1516.600000,1.9660E-008
1516.650000,7.9030E-009,1516.650000,7.9030E-009,1516.650000,7.9030E-009
1516.700000,-1.7270E-008,1516.700000,-1.7270E-008,1516.700000,-1.7270E-008
1516.750000,5.6380E-008,1516.750000,5.6380E-008,1516.750000,5.6380E-008
