1510.000000,2.0960E-008,1510.000000,2.0960E-008,1510.000000,2.0960E-008
1510.050000,-3.1520E-009,1510.050000,-3.1520E-009,1510.050000,-3.1520E-009
1510.100000,-3.2530E-008,1510.100000,-3.2530E-008,1510.100000,-3.2530E-008
1510.150000,2.6570E-009,1510.150000,2.6570E-009,1510.150000,2.6570E-009
1510.200000,-1.8930E-008,1510.200000,-1.8930E-008,1510.200000,-1.8930E-008
1510.250000,5.5850E-008,1510.250000,5.5850E-008,1510.250000,5.5850E-008
1510.300000,-2.7410E-008,1510.300000,-2.7410E-008,1510.300000,-2.7410E-008
1510.350000,3.1210E-008,1510.350000,3.1210E-008,1510.350000,3.1210E-008
1510.400000,6.2970E-009,1510.400000,6.2970E-009,1510.400000,6.2970E-009
1510.450000,1.8130E-008,1510.450000,1.8130E-008,1510.450000,1.8130E-008
1510.500000,-2.0450E-008,1510.500000,-2.0450E-008,1510.500000,-2.0450E-008
1510.550000,1.0490E-008,1510.550000,1.0490E-008,1510.550000,1.0490E-008
1510.600000,-1.1140E-008,1510.600000,-1.1140E-008,1510.600000,-1.1140E-008
1510.650000,2.4310E-008,1510.650000,2.4310E-008,1510.650000,2.4310E-008
1510.700000,-4.5550E-009,1510.700000,-4.5550E-009,1510.700000,-4.5550E-009
1510.750000,1.8860E-008,1510.750000,1.8860E-008,1510.750000,1.8860E-008
1510.800000,2.1380E-008,1510.800000,2.1380E-008,1510.800000,2.1380E-008
1510.850000,-2.6400E-008,1510.850000,-2.6400E-008,1510.850000,-2.6400E-008
1510.900000,-1.9170E-008,1510.900000,-1.9170E-008,1510.900000,-1.9170E-008
1510.950000,5.3420E-009,1510.950000,5.3420E-009,1510.950000,5.3420E-009
1511.000000,-3.7140E-008,1511.000000,-3.7140E-008,1511.000000,-3.7140E-008
1511.050000,2.9930E-008,1511.050000,2.9930E-008,1511.050000,2.9930E-008
1511.100000,5.3570E-008,1511.100000,5.3570E-008,1511.100000,5.3570E-008
1511.150000,4.6800E-008,1511.150000,4.6800E-008,1511.150000,4.6800E-008
1511.200000,-1.6950E-008,1511.200000,-1.6950E-008,1511.200000,-1.6950E-008
1511.250000,4.0020E-008,1511.250000,4.0020E-008,1511.250000,4.0020E-008
1511.300000,-1.4940E-008,1511.300000,-1.4940E-008,1511.300000,-1.4940E-008
1511.350000,4.9130E-008,1511.350000,4.9130E-008,1511.350000,4.9130E-008
1511.400000,-1.4860E-008,1511.400000,-1.4860E-008,1511.400000,-1.4860E-008
1511.450000,-9.4100E-009,1511.450000,-9.4100E-009,1511.450000,-9.4100E-009
1511.500000,1.7560E-009,1511.500000,1.7560E-009,1511.500000,1.7560E-009
1511.550000,2.7350E-008,1511.550000,2.7350E-008,1511.550000,2.7350E-008
1511.600000,2.5580E-008,1511.600000,2.5580E-008,1511.600000,2.5580E-008
1511.650000,-5.3460E-009,1511.650000,-5.3460E-009,1511.650000,-5.3460E-009
1511.700000,-6.1030E-009,1511.700000,-6.1030E-009,1511.700000,-6.1030E-009
1511.750000,-8.9390E-009,1511.750000,-8.9390E-009,1511.750000,-8.9390E-009
1511.800000,-1.7250E-009,1511.800000,-1.7250E-009,1511.800000,-1.7250E-009
1511.850000,5.7850E-008,1511.850000,5.7850E-008,1511.850000,5.7850E-008
1511.900000,-3.6410E-008,1511.900000,-3.6410E-008,1511.900000,-3.6410E-008
1511.950000,-2.8680E-008,1511.950000,-2.8680E-008,1511.950000,-2.8680E-008
1512.000000,1.8220E-008,1512.000000,1.8220E-008,1512.000000,1.8220E-008
1512.050000,2.5360E-008,1512.050000,2.5360E-008,1512.050000,2.5360E-008
1512.100000,-2.0600E-008,1512.100000,-2.0600E-008,1512.100000,-2.0600E-008
1512.150000,1.4370E-008,1512.150000,1.4370E-008,1512.150000,1.4370E-008
1512.200000,6.2770E-008,1512.200000,6.2770E-008,1512.200000,6.2770E-008
1512.250000,4.2550E-008,1512.250000,4.2550E-008,1512.250000,4.2550E-008
1512.300000,-2.2780E-008,1512.300000,-2.2780E-008,1512.300000,-2.2780E-008
1512.350000,-3.4860E-008,1512.350000,-3.4860E-008,1512.350000,-3.4860E-008
1512.400000,3.4750E-008,1512.400000,3.4750E-008,1512.400000,3.4750E-008
1512.450000,1.0290E-008,1512.450000,1.0290E-008,1512.450000,1.0290E-008
1512.500000,-3.1920E-008,1512.500000,-3.1920E-008,1512.500000,-3.1920E-008
1512.550000,1.8530E-008,1512.550000,1.8530E-008,1512.550000,1.8530E-008
1512.600000,3.6240E-008,1512.600000,3.6240E-008,1512.600000,3.6240E-008
1512.650000,-4.0810E-008,1512.650000,-4.0810E-008,1512.650000,-4.0810E-008
1512.700000,-2.0750E-008,1512.700000,-2.0750E-008,1512.700000,-2.0750E-008
1512.750000,1.0970E-007,1512.750000,1.0970E-007,1512.750000,1.0970E-007
1512.800000,-2.2150E-008,1512.800000,-2.2150E-008,1512.800000,-2.2150E-008
1512.850000,-3.2160E-008,1512.850000,-3.2160E-008,1512.850000,-3.2160E-008
1512.900000,3.9680E-008,1512.900000,3.9680E-008,1512.900000,3.9680E-008
1512.950000,-3.0340E-008,1512.950000,-3.0340E-008,1512.950000,-3.0340E-008
1513.000000,1.5840E-008,1513.000000,1.5840E-008,1513.000000,1.5840E-008
1513.050000,-1.7310E-008,1513.050000,-1.7310E-008,1513.050000,-1.7310E-008
1513.100000,-6.6560E-008,1513.100000,-6.6560E-008,1513.100000,-6.6560E-008
1513.150000,-2.1920E-009,1513.150000,-2.1920E-009,1513.150000,-2.1920E-009
1513.200000,-3.2210E-008,1513.200000,-3.2210E-008,1513.200000,-3.2210E-008
1513.250000,2.7520E-008,1513.250000,2.7520E-008,1513.250000,2.7520E-008
1513.300000,-5.0340E-008,1513.300000,-5.0340E-008,1513.300000,-5.0340E-008
1513.350000,2.5380E-009,1513.350000,2.5380E-009,1513.350000,2.5380E-009
1513.400000,-4.1370E-009,1513.400000,-4.1370E-009,1513.400000,-4.1370E-009
1513.450000,-2.4190E-008,1513.450000,-2.4190E-008,1513.450000,-2.4190E-008
1513.500000,5.2790E-008,1513.500000,5.2790E-008,1513.500000,5.2790E-008
1513.550000,3.1260E-008,1513.550000,3.1260E-008,1513.550000,3.1260E-008
1513.600000,5.7260E-008,1513.600000,5.7260E-008,1513.600000,5.7260E-008
1513.650000,1.2010E-008,1513.650000,1.2010E-008,1513.650000,1.2010E-008
1513.700000,-1.2930E-008,1513.700000,-1.2930E-008,1513.700000,-1.2930E-008
1513.750000,-1.2000E-008,1513.750000,-1.2000E-008,1513.750000,-1.2000E-008
1513.800000,-2.1330E-008,1513.800000,-2.1330E-008,1513.800000,-2.1330E-008
1513.850000,4.5370E-008,1513.850000,4.5370E-008,1513.850000,4.5370E-008
1513.900000,-5.4690E-008,1513.900000,-5.4690E-008,1513.900000,-5.4690E-008
1513.950000,8.3020E-008,1513.950000,8.3020E-008,1513.950000,8.3020E-008
1514.000000,-2.3880E-009,1514.000000,-2.3880E-009,1514.000000,-2.3880E-009
1514.050000,3.1210E-008,1514.050000,3.1210E-008,1514.050000,3.1210E-008
1514.100000,-5.6780E-008,1514.100000,-5.6780E-008,1514.100000,-5.6780E-008
1514.150000,2.4500E-008,1514.150000,2.4500E-008,1514.150000,2.4500E-008
1514.200000,2.7990E-008,1514.200000,2.7990E-008,1514.200000,2.7990E-008
1514.250000,-1.3830E-008,1514.250000,-1.3830E-008,1514.250000,-1.3830E-008
1514.300000,8.8890E-009,1514.300000,8.8890E-009,1514.300000,8.8890E-009
1514.350000,4.3120E-008,1514.350000,4.3120E-008,1514.350000,4.3120E-008
1514.400000,1.5160E-008,1514.400000,1.5160E-008,1514.400000,1.5160E-008
1514.450000,2.2550E-008,1514.450000,2.2550E-008,1514.450000,2.2550E-008
1514.500000,2.6840E-008,1514.500000,2.6840E-008,1514.500000,2.6840E-008
1514.550000,4.0450E-008,1514.550000,4.0450E-008,1514.550000,4.0450E-008
1514.600000,1.9670E-008,1514.600000,1.9670E-008,1514.600000,1.9670E-008
1514.650000,3.3930E-008,1514.650000,3.3930E-008,1514.650000,3.3930E-008
1514.700000,1.0610E-008,1514.700000,1.0610E-008,1514.700000,1.0610E-008
1514.750000,5.2610E-008,1514.750000,5.2610E-008,1514.750000,5.2610E-008
1514.800000,3.2630E-008,1514.800000,3.2630E-008,1514.800000,3.2630E-008
1514.850000,-2.3040E-008,1514.850000,-2.3040E-008,1514.850000,-2.3040E-008
1514.900000,3.5090E-008,1514.900000,3.5090E-008,1514.900000,3.5090E-008
1514.950000,-3.1510E-009,1514.950000,-3.1510E-009,1514.950000,-3.1510E-009
1515.000000,-5.6540E-009,1515.000000,-5.6540E-009,1515.000000,-5.6540E-009
1515.050000,-1.7670E-008,1515.050000,-1.7670E-008,1515.050000,-1.7670E-008
1515.100000,-2.2640E-009,1515.100000,-2.2640E-009,1515.100000,-2.2640E-009
1515.150000,-2.7090E-009,1515.150000,-2.7090E-009,1515.150000,-2.7090E-009
1515.200000,3.7680E-008,1515.200000,3.7680E-008,1515.200000,3.7680E-008
1515.250000,3.9590E-008,1515.250000,3.9590E-008,1515.250000,3.9590E-008
1515.300000,3.3490E-009,1515.300000,3.3490E-009,1515.300000,3.3490E-009
1515.350000,5.6300E-008,1515.350000,5.6300E-008,1515.350000,5.6300E-008
1515.400000,4.2360E-008,1515.400000,4.2360E-008,1515.400000,4.2360E-008
1515.450000,1.0360E-008,1515.450000,1.0360E-008,1515.450000,1.0360E-008
1515.500000,-1.4800E-008,1515.500000,-1.4800E-008,1515.500000,-1.4800E-008
1515.550000,5.4050E-008,1515.550000,5.4050E-008,1515.550000,5.4050E-008
1515.600000,2.7580E-008,1515.600000,2.7580E-008,1515.600000,2.7580E-008
1515.650000,-1.5500E-009,1515.650000,-1.5500E-009,1515.650000,-1.5500E-009
1515.700000,7.0200E-008,1515.700000,7.0200E-008,1515.700000,7.0200E-008
1515.750000,3.9170E-009,1515.750000,3.9170E-009,1515.750000,3.9170E-009
1515.800000,4.3410E-010,1515.800000,4.3410E-010,1515.800000,4.3410E-010
1515.850000,5.1990E-009,1515.850000,5.1990E-009,1515.850000,5.1990E-009
1515.900000,-1.8460E-008,1515.900000,-1.8460E-008,1515.900000,-1.8460E-008
1515.950000,2.8920E-008,1515.950000,2.8920E-008,1515.950000,2.8920E-008
1516.000000,1.1790E-008,1516.000000,1.1790E-008,1516.000000,1.1790E-008
1516.050000,4.8180E-008,1516.050000,4.8180E-008,1516.050000,4.8180E-008
1516.100000,3.6650E-008,1516.100000,3.6650E-008,1516.100000,3.6650E-008
1516.150000,3.8670E-009,1516.150000,3.8670E-009,1516.150000,3.8670E-009
1516.200000,-6.3650E-009,1516.200000,-6.3650E-009,1516.200000,-6.3650E-009
1516.250000,1.2320E-008,1516.250000,1.2320E-008,1516.250000,1.2320E-008
1516.300000,7.6070E-010,1516.300000,7.6070E-010,1516.300000,7.6070E-010
1516.350000,2.5180E-008,1516.350000,2.5180E-008,1516.350000,2.5180E-008
1516.400000,9.9120E-009,1516.400000,9.9120E-009,1516.400000,9.9120E-009
1516.450000,-4.0860E-009,1516.450000,-4.0860E-009,1516.450000,-4.0860E-009
1516.500000,6.5870E-009,1516.500000,6.5870E-009,1516.500000,6.5870E-009
1516.550000,1.0580E-007,1516.550000,1.0580E-007,1516.550000,1.0580E-007
1516.600000,-1.7360E-008,1516.600000,-1.7360E-008,1516.600000,-1.7360E-008
1516.650000,9.4470E-009,1516.650000,9.4470E-009,1516.650000,9.4470E-009
1516.700000,1.2390E-009,1516.700000,1.2390E-009,1516.700000,1.2390E-009
1516.750000,-1.5390E-008,1516.750000,-1.5390E-008,1516.750000,-1.5390E-008
1516.800000,3.8930E-008,1516.800000,3.8930E-008,1516.800000,3.8930E-008
1516.850000,-3.8890E-008,1516.850000,-3.8890E-008,1516.850000,-3.8890E-008
1516.900000,3.9110E-008,1516.900000,3.9110E-008,1516.900000,3.9110E-008
1516.950000,4.5900E-008,1516.950000,4.5900E-008,1516.950000,4.5900E-008
1517.000000,-1.3560E-008,1517.000000,-1.3560E-008,1517.000000,-1.3560E-008
1517.050000,-4.0560E-009,1517.050000,-4.0560E-009,1517.050000,-4.0560E-009
1517.100000,-9.9790E-009,1517.100000,-9.9790E-009,1517.100000,-9.9790E-009
1517.150000,-2.8240E-008,1517.150000,-2.8240E-008,1517.150000,-2.8240E-008
1517.200000,6.1090E-008,1517.200000,6.1090E-008,1517.200000,6.1090E-008
1517.250000,-8.0500E-010,1517.250000,-8.0500E-010,1517.250000,-8.0500E-010
1517.300000,4.9300E-008,1517.300000,4.9300E-008,1517.300000,4.9300E-008
1517.350000,1.6190E-008,1517.350000,1.6190E-008,1517.350000,1.6190E-008
1517.400000,2.6600E-008,1517.400000,2.6600E-008,1517.400000,2.6600E-008
1517.450000,4.6030E-008,1517.450000,4.6030E-008,1517.450000,4.6030E-008
1517.500000,1.8490E-008,1517.500000,1.8490E-008,1517.500000,1.8490E-008
1517.550000,4.3700E-008,1517.550000,4.3700E-008,1517.550000,4.3700E-008
1517.600000,-2.1240E-008,1517.600000,-2.1240E-008,1517.600000,-2.1240E-008
1517.650000,4.5480E-008,1517.650000,4.5480E-008,1517.650000,4.5480E-008
1517.700000,2.0120E-008,1517.700000,2.0120E-008,1517.700000,2.0120E-008
1517.750000,5.3030E-008,1517.750000,5.3030E-008,1517.750000,5.3030E-008
1517.800000,3.9660E-008,1517.800000,3.9660E-008,1517.800000,3.9660E-008
1517.850000,-3.4690E-008,1517.850000,-3.4690E-008,1517.850000,-3.4690E-008
1517.900000,6.2900E-008,1517.900000,6.2900E-008,1517.900000,6.2900E-008
1517.950000,-5.7920E-009,1517.950000,-5.7920E-009,1517.950000,-5.7920E-009
1518.000000,-1.1530E-008,1518.000000,-1.1530E-008,1518.000000,-1.1530E-008
1518.050000,1.0440E-009,1518.050000,1.0440E-009,1518.050000,1.0440E-009
1518.100000,2.6080E-008,1518.100000,2.6080E-008,1518.100000,2.6080E-008
1518.150000,3.3530E-008,1518.150000,3.3530E-008,1518.150000,3.3530E-008
1518.200000,-1.0330E-008,1518.200000,-1.0330E-008,1518.200000,-1.0330E-008
1518.250000,1.4530E-008,1518.250000,1.4530E-008,1518.250000,1.4530E-008
1518.300000,3.5450E-008,1518.300000,3.5450E-008,1518.300000,3.5450E-008
1518.350000,4.2250E-008,1518.350000,4.2250E-008,1518.350000,4.2250E-008
1518.400000,4.5200E-008,1518.400000,4.5200E-008,1518.400000,4.5200E-008
1518.450000,3.4860E-008,1518.450000,3.4860E-008,1518.450000,3.4860E-008
1518.500000,-7.8420E-009,1518.500000,-7.8420E-009,1518.500000,-7.8420E-009
1518.550000,2.8280E-008,1518.550000,2.8280E-008,1518.550000,2.8280E-008
1518.600000,4.0120E-008,1518.600000,4.0120E-008,1518.600000,4.0120E-008
1518.650000,4.8380E-008,1518.650000,4.8380E-008,1518.650000,4.8380E-008
1518.700000,-9.1600E-009,1518.700000,-9.1600E-009,1518.700000,-9.1600E-009
1518.750000,4.2090E-008,1518.750000,4.2090E-008,1518.750000,4.2090E-008
1518.800000,-1.0440E-009,1518.800000,-1.0440E-009,1518.800000,-1.0440E-009
1518.850000,-3.8120E-009,1518.850000,-3.8120E-009,1518.850000,-3.8120E-009
1518.900000,2.1550E-008,1518.900000,2.1550E-008,1518.900000,2.1550E-008
1518.950000,6.9700E-009,1518.950000,6.9700E-009,1518.950000,6.9700E-009
1519.000000,1.8170E-008,1519.000000,1.8170E-008,1519.000000,1.8170E-008
1519.050000,6.8860E-008,1519.050000,6.8860E-008,1519.050000,6.8860E-008
1519.100000,-2.4540E-008,1519.100000,-2.4540E-008,1519.100000,-2.4540E-008
1519.150000,5.2680E-008,1519.150000,5.2680E-008,1519.150000,5.2680E-008
1519.200000,1.8940E-008,1519.200000,1.8940E-008,1519.200000,1.8940E-008
1519.250000,4.0390E-008,1519.250000,4.0390E-008,1519.250000,4.0390E-008
1519.300000,2.4130E-008,1519.300000,2.4130E-008,1519.300000,2.4130E-008
1519.350000,3.9840E-008,1519.350000,3.9840E-008,1519.350000,3.9840E-008
1519.400000,1.5870E-008,1519.400000,1.5870E-008,1519.400000,1.5870E-008
1519.450000,1.4900E-008,1519.450000,1.4900E-008,1519.450000,1.4900E-008
1519.500000,4.1440E-008,1519.500000,4.1440E-008,1519.500000,4.1440E-008
1519.550000,3.3580E-008,1519.550000,3.3580E-008,1519.550000,3.3580E-008
1519.600000,-1.1510E-008,1519.600000,-1.1510E-008,1519.600000,-1.1510E-008
1519.650000,1.2280E-008,1519.650000,1.2280E-008,1519.650000,1.2280E-008
1519.700000,-2.1980E-008,1519.700000,-2.1980E-008,1519.700000,-2.1980E-008
1519.750000,-1.6680E-008,1519.750000,-1.6680E-008,1519.750000,-1.6680E-008
1519.800000,3.9410E-008,1519.800000,3.9410E-008,1519.800000,3.9410E-008
1519.850000,1.1100E-008,1519.850000,1.1100E-008,1519.850000,1.1100E-008
1519.900000,3.1150E-008,1519.900000,3.1150E-008,1519.900000,3.1150E-008
1519.950000,2.3880E-008,1519.950000,2.3880E-008,1519.950000,2.3880E-008
1520.000000,2.8820E-008,1520.000000,2.8820E-008,1520.000000,2.8820E-008
1520.050000,-2.4520E-008,1520.050000,-2.4520E-008,1520.050000,-2.4520E-008
1520.100000,6.2320E-008,1520.100000,6.2320E-008,1520.100000,6.2320E-008
1520.150000,-3.9560E-008,1520.150000,-3.9560E-008,1520.150000,-3.9560E-008
1520.200000,2.5180E-008,1520.200000,2.5180E-008,1520.200000,2.5180E-008
1520.250000,9.4760E-008,1520.250000,9.4760E-008,1520.250000,9.4760E-008
1520.300000,-1.1340E-008,1520.300000,-1.1340E-008,1520.300000,-1.1340E-008
1520.350000,7.7490E-008,1520.350000,7.7490E-008,1520.350000,7.7490E-008
1520.400000,7.5350E-008,1520.400000,7.5350E-008,1520.400000,7.5350E-008
1520.450000,2.4960E-008,1520.450000,2.4960E-008,1520.450000,2.4960E-008
1520.500000,-1.1720E-008,1520.500000,-1.1720E-008,1520.500000,-1.1720E-008
1520.550000,6.7630E-009,1520.550000,6.7630E-009,1520.550000,6.7630E-009
1520.600000,-1.3260E-008,1520.600000,-1.3260E-008,1520.600000,-1.3260E-008
1520.650000,2.8400E-008,1520.650000,2.8400E-008,1520.650000,2.8400E-008
1520.700000,-2.0190E-008,1520.700000,-2.0190E-008,1520.700000,-2.0190E-008
1520.750000,5.9920E-008,1520.750000,5.9920E-008,1520.750000,5.9920E-008
1520.800000,-1.7710E-008,1520.800000,-1.7710E-008,1520.800000,-1.7710E-008
1520.850000,6.0260E-008,1520.850000,6.0260E-008,1520.850000,6.0260E-008
1520.900000,4.6800E-008,1520.900000,4.6800E-008,1520.900000,4.6800E-008
1520.950000,1.0400E-008,1520.950000,1.0400E-008,1520.950000,1.0400E-008
1521.000000,4.5230E-008,1521.000000,4.5230E-008,1521.000000,4.5230E-008
1521.050000,4.8870E-008,1521.050000,4.8870E-008,1521.050000,4.8870E-008
1521.100000,3.3250E-008,1521.100000,3.3250E-008,1521.100000,3.3250E-008
1521.150000,6.0390E-008,1521.150000,6.0390E-008,1521.150000,6.0390E-008
1521.200000,-6.3290E-009,1521.200000,-6.3290E-009,1521.200000,-6.3290E-009
1521.250000,3.7730E-008,1521.250000,3.7730E-008,1521.250000,3.7730E-008
1521.300000,1.6420E-008,1521.300000,1.6420E-008,1521.300000,1.6420E-008
