File,WaveData20230210_049.csv,
Date/Time,23-02-10/21:56,

Trace,A
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm
Trace,B
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.700000,8.0940E-007,1250.700000,8.0940E-007
1250.949900,8.5650E-007,1250.949900,8.5650E-007
1251.199800,8.6150E-007,1251.199800,8.6150E-007
1251.449700,8.8420E-007,1251.449700,8.8420E-007
1251.699600,8.0290E-007,1251.699600,8.0290E-007
1251.949500,8.4720E-007,1251.949500,8.4720E-007
1252.199400,8.1910E-007,1252.199400,8.1910E-007
1252.449300,7.6890E-007,1252.449300,7.6890E-007
1252.699200,8.0130E-007,1252.699200,8.0130E-007
1252.949100,8.0980E-007,1252.949100,8.0980E-007
1253.199000,8.0580E-007,1253.199000,8.0580E-007
1253.448900,7.9930E-007,1253.448900,7.9930E-007
1253.698800,8.5640E-007,1253.698800,8.5640E-007
1253.948700,8.7390E-007,1253.948700,8.7390E-007
1254.198600,8.3340E-007,1254.198600,8.3340E-007
1254.448500,8.0800E-007,1254.448500,8.0800E-007
1254.698400,8.1090E-007,1254.698400,8.1090E-007
1254.948300,8.1630E-007,1254.948300,8.1630E-007
1255.198200,8.3730E-007,1255.198200,8.3730E-007
1255.448100,7.7060E-007,1255.448100,7.7060E-007
1255.698000,7.7980E-007,1255.698000,7.7980E-007
1255.947900,8.6610E-007,1255.947900,8.6610E-007
1256.197800,7.9340E-007,1256.197800,7.9340E-007
1256.447700,7.9680E-007,1256.447700,7.9680E-007
1256.697600,8.0490E-007,1256.697600,8.0490E-007
1256.947500,7.7930E-007,1256.947500,7.7930E-007
1257.197400,7.9400E-007,1257.197400,7.9400E-007
1257.447300,7.9710E-007,1257.447300,7.9710E-007
1257.697200,8.0970E-007,1257.697200,8.0970E-007
1257.947100,8.2730E-007,1257.947100,8.2730E-007
1258.197000,7.6210E-007,1258.197000,7.6210E-007
1258.446900,8.3790E-007,1258.446900,8.3790E-007
1258.696800,7.9200E-007,1258.696800,7.9200E-007
1258.946700,8.1180E-007,1258.946700,8.1180E-007
1259.196600,7.9990E-007,1259.196600,7.9990E-007
1259.446500,8.2170E-007,1259.446500,8.2170E-007
1259.696400,7.9980E-007,1259.696400,7.9980E-007
1259.946300,8.2450E-007,1259.946300,8.2450E-007
1260.196200,7.5850E-007,1260.196200,7.5850E-007
1260.446100,7.9700E-007,1260.446100,7.9700E-007
1260.696000,8.4440E-007,1260.696000,8.4440E-007
1260.945900,8.0190E-007,1260.945900,8.0190E-007
1261.195800,8.4480E-007,1261.195800,8.4480E-007
1261.445700,7.6910E-007,1261.445700,7.6910E-007
1261.695600,8.1170E-007,1261.695600,8.1170E-007
1261.945500,8.0490E-007,1261.945500,8.0490E-007
1262.195400,7.8180E-007,1262.195400,7.8180E-007
1262.445300,7.8490E-007,1262.445300,7.8490E-007
1262.695200,7.8260E-007,1262.695200,7.8260E-007
1262.945100,8.1870E-007,1262.945100,8.1870E-007
1263.195000,7.9400E-007,1263.195000,7.9400E-007
1263.444900,8.1860E-007,1263.444900,8.1860E-007
1263.694800,8.4130E-007,1263.694800,8.4130E-007
1263.944700,8.4450E-007,1263.944700,8.4450E-007
