,Ancho_espectral,Potencia,Theta1,Theta2,Theta3,Clases
0,214.65412564346047,2.119861,0.0,0.0,0.0,0
1,214.65412564346047,2.10837,4.0,0.0,0.0,0
2,215.17185266630008,2.109158,8.0,0.0,0.0,0
3,215.17185266630008,2.103342,12.0,0.0,0.0,0
4,220.91186965865336,2.098187,16.0,0.0,0.0,0
5,215.8471487830475,2.098067,20.0,0.0,0.0,0
6,215.59954020690705,2.100612,24.0,0.0,0.0,0
7,211.3676845419559,2.099286,28.0,0.0,0.0,0
8,204.97488130341344,2.112908,32.0,0.0,0.0,0
9,183.68054375531003,2.128794,36.0,0.0,0.0,0
10,160.7204757858965,2.152362,40.0,0.0,0.0,0
11,144.3332900194912,2.168957,44.0,0.0,0.0,1
12,141.0243390474286,2.191727,48.0,0.0,0.0,1
13,134.63153580888616,2.2096,52.0,0.0,0.0,1
14,127.85606477085298,2.228335,56.0,0.0,0.0,1
15,124.74970263381488,2.244129,60.0,0.0,0.0,1
16,116.6236393622869,2.255634,64.0,0.0,0.0,1
17,113.7198660602728,2.264118,68.0,0.0,0.0,1
18,112.1441751211953,2.270283,72.0,0.0,0.0,1
19,112.2117047328702,2.270605,76.0,0.0,0.0,1
20,114.26010295367088,2.267077,80.0,0.0,0.0,1
21,123.21903143585382,2.259254,84.0,0.0,0.0,1
22,132.98831525813375,2.246321,88.0,0.0,0.0,1
23,143.8380728672098,2.22899,92.0,0.0,0.0,1
24,156.26352141536313,2.20563,96.0,0.0,0.0,0
25,157.97427157778998,2.179818,100.0,0.0,0.0,0
26,226.6969063921236,2.120118,104.0,0.0,0.0,0
27,202.4312659303312,2.117871,108.0,0.0,0.0,0
28,221.06943875256133,2.09183,112.0,0.0,0.0,0
29,241.6659703133589,2.069679,116.0,0.0,0.0,0
30,237.051446848918,2.048505,120.0,0.0,0.0,0
31,231.28891998600625,2.033048,124.0,0.0,0.0,0
32,226.71941626268176,2.024115,128.0,0.0,0.0,0
33,222.55509020940576,2.016206,132.0,0.0,0.0,0
