File,WaveData20230131_116.csv,
Date/Time,23-01-31/16:49,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1259.014400,2.7110E-006,1259.014400,2.7110E-006
1259.114560,9.2110E-007,1259.114560,9.2110E-007
1259.214720,1.4420E-006,1259.214720,1.4420E-006
1259.314880,2.2360E-006,1259.314880,2.2360E-006
1259.415040,2.2460E-006,1259.415040,2.2460E-006
1259.515200,1.4670E-006,1259.515200,1.4670E-006
1259.615360,1.9180E-006,1259.615360,1.9180E-006
1259.715520,4.9030E-007,1259.715520,4.9030E-007
1259.815680,2.4700E-006,1259.815680,2.4700E-006
1259.915840,1.3010E-006,1259.915840,1.3010E-006
1260.016000,1.4580E-006,1260.016000,1.4580E-006
1260.116160,6.4050E-007,1260.116160,6.4050E-007
1260.216320,1.6240E-006,1260.216320,1.6240E-006
1260.316480,1.8920E-006,1260.316480,1.8920E-006
1260.416640,5.8500E-007,1260.416640,5.8500E-007
1260.516800,1.0420E-006,1260.516800,1.0420E-006
1260.616960,1.8620E-006,1260.616960,1.8620E-006
1260.717120,1.3940E-006,1260.717120,1.3940E-006
1260.817280,1.5910E-006,1260.817280,1.5910E-006
1260.917440,1.3400E-006,1260.917440,1.3400E-006
1261.017600,2.9560E-006,1261.017600,2.9560E-006
1261.117760,3.7050E-007,1261.117760,3.7050E-007
1261.217920,2.1140E-006,1261.217920,2.1140E-006
1261.318080,8.1900E-007,1261.318080,8.1900E-007
1261.418240,1.6890E-006,1261.418240,1.6890E-006
1261.518400,9.0170E-007,1261.518400,9.0170E-007
1261.618560,1.0190E-006,1261.618560,1.0190E-006
1261.718720,6.6570E-007,1261.718720,6.6570E-007
1261.818880,1.9040E-006,1261.818880,1.9040E-006
1261.919040,2.7390E-006,1261.919040,2.7390E-006
1262.019200,8.2360E-007,1262.019200,8.2360E-007
1262.119360,1.5730E-006,1262.119360,1.5730E-006
1262.219520,1.7270E-006,1262.219520,1.7270E-006
1262.319680,1.7220E-006,1262.319680,1.7220E-006
1262.419840,7.2360E-007,1262.419840,7.2360E-007
1262.520000,1.7120E-006,1262.520000,1.7120E-006
1262.620160,1.4340E-006,1262.620160,1.4340E-006
1262.720320,2.5320E-007,1262.720320,2.5320E-007
1262.820480,1.7180E-006,1262.820480,1.7180E-006
1262.920640,1.4200E-006,1262.920640,1.4200E-006
