,Theta1,Theta2,Theta3,Power,Ancho_espectral
0,0.0,0.0,0,0.007032475,232.8047578589635
1,4.0,0.0,0,0.00702155,228.48530161427357
2,8.0,0.0,0,0.007020225,226.47884451996606
3,12.0,0.0,0,0.007014375,227.70501274426488
4,16.0,0.0,0,0.0070122,229.99014443500414
5,20.0,0.0,0,0.0070259,228.95904842820732
6,24.0,0.0,0,0.007041575,216.9760407816484
7,28.0,0.0,0,0.00708165,203.9062022090061
8,32.0,0.0,0,0.007135225,192.20186915887848
9,36.0,0.0,0,0.00717515,196.5491928632116
10,40.0,0.0,0,0.007115525,208.4764655904844
11,44.0,0.0,0,0.006962725,242.64197111299927
12,48.0,0.0,0,0.00671885,297.95887850467307
13,52.0,0.0,0,0.00674945,240.35683942226
14,56.0,0.0,0,0.006774875,268.2521665250638
15,60.0,0.0,0,0.00665115,273.49124893797807
16,64.0,0.0,0,0.006587525,284.7775700934578
17,68.0,0.0,0,0.0065959,289.1248937977912
18,72.0,0.0,0,0.00662345,290.60186915887857
19,76.0,0.0,0,0.006652675,283.3284621920136
20,80.0,0.0,0,0.006676375,271.26185216652516
21,84.0,0.0,0,0.006708175,260.81155480034
22,88.0,0.0,0,0.00674605,255.5724723874257
23,92.0,0.0,0,0.006789525,258.414953271028
24,96.0,0.0,0,0.0067881,284.5267629566695
25,100.0,0.0,0,0.006815375,280.1794392523366
26,104.0,0.0,0,0.0069023,236.00951571792712
27,108.0,0.0,0,0.006937675,221.26762956669495
28,112.0,0.0,0,0.00694735,218.06287170773157
29,116.0,0.0,0,0.00694645,218.67595581988098
30,120.0,0.0,0,0.006926725,224.38878504672903
31,124.0,0.0,0,0.00689195,241.02565845369577
32,128.0,0.0,0,0.006869375,246.32047578589663
33,132.0,0.0,0,0.006862125,250.50059473237047
34,136.0,0.0,0,0.006870875,247.32370433305027
35,140.0,0.0,0,0.006896425,246.26474086661005
36,144.0,0.0,0,0.006926175,239.4093457943925
37,148.0,0.0,0,0.00695835,230.3802888700086
38,152.0,0.0,0,0.006986375,227.14766355140205
39,156.0,0.0,0,0.0070271,215.33186066270196
40,160.0,0.0,0,0.006948475,266.9702633814784
41,164.0,0.0,0,0.006912425,250.24978759558212
42,168.0,0.0,0,0.006885975,249.55310110450296
43,172.0,0.0,0,0.00687865,263.6819031435855
44,176.0,0.0,0,0.00696595,256.12982158028876
45,180.0,0.0,0,0.0070036,233.05556499575187
46,184.0,0.0,0,0.0069677,247.12863211554804
47,188.0,0.0,0,0.006928525,267.52761257434145
48,192.0,0.0,0,0.006893075,283.74647408666124
49,196.0,0.0,0,0.00686875,284.58249787595605
50,0.0,4.0,0,0.00697585,201.1194562446899
51,4.0,4.0,0,0.00711405,205.82905692438408
52,8.0,4.0,0,0.00710745,213.68768054375528
53,12.0,4.0,0,0.00707745,225.36414613423972
54,16.0,4.0,0,0.007044775,229.5999999999999
55,20.0,4.0,0,0.0070045,234.1981308411216
56,24.0,4.0,0,0.00699285,237.90450297366192
57,28.0,4.0,0,0.00700315,230.43602378929472
58,32.0,4.0,0,0.007016625,235.3685641461343
59,36.0,4.0,0,0.007026475,220.06932880203908
60,40.0,4.0,0,0.007038975,205.91265930331338
61,44.0,4.0,0,0.00706675,199.44740866610027
62,48.0,4.0,0,0.00709755,201.2309260832626
63,52.0,4.0,0,0.00714535,202.56856414613435
64,56.0,4.0,0,0.00713015,219.40050977060332
65,60.0,4.0,0,0.007054925,250.2497875955819
66,64.0,4.0,0,0.0069033,302.5848768054377
67,68.0,4.0,0,0.006692375,239.4093457943925
68,72.0,4.0,0,0.00677225,266.9423959218352
69,76.0,4.0,0,0.006774825,270.565165675446
70,80.0,4.0,0,0.0066695,289.7101104502974
71,84.0,4.0,0,0.006596725,282.882582837723
72,88.0,4.0,0,0.006594675,294.55904842820723
73,92.0,4.0,0,0.00661025,290.1838572642314
74,96.0,4.0,0,0.00662415,286.0037383177571
75,100.0,4.0,0,0.006639925,289.1248937977912
76,104.0,4.0,0,0.006663075,265.85556499575205
77,108.0,4.0,0,0.00670285,254.68071367884454
78,112.0,4.0,0,0.006757575,285.50212404418016
79,116.0,4.0,0,0.006805175,275.7763806287171
80,120.0,4.0,0,0.006808125,277.83857264231096
81,124.0,4.0,0,0.006844425,221.239762107052
82,128.0,4.0,0,0.0069378,219.3169073916738
83,132.0,4.0,0,0.00697075,219.37264231096015
84,136.0,4.0,0,0.006969975,224.27731520815655
85,140.0,4.0,0,0.006966275,226.84112149532712
86,144.0,4.0,0,0.0069523,230.54749362786765
87,148.0,4.0,0,0.006945375,235.8980458793544
88,152.0,4.0,0,0.0069583,233.64078164825833
89,156.0,4.0,0,0.006968233,229.29345794392543
90,160.0,4.0,0,0.006988875,216.2236193712829
91,164.0,4.0,0,0.007018475,248.3548003398471
92,168.0,4.0,0,0.00699665,270.9274426508073
93,172.0,4.0,0,,263.82124044180114
94,176.0,4.0,0,,235.45216652506383
95,180.0,4.0,0,0.0070039,251.3087510620221
96,184.0,4.0,0,0.006958625,236.9848768054378
97,188.0,4.0,0,0.00696825,239.18640611724732
98,192.0,4.0,0,0.006976275,240.32897196261706
99,196.0,4.0,0,0.0069523,244.14681393372985
100,0.0,8.0,0,0.006962625,226.20016992353453
101,4.0,8.0,0,0.00702005,210.56652506372143
102,8.0,8.0,0,0.006961625,205.63398470688185
103,12.0,8.0,0,0.007003833,190.39048428207298
104,16.0,8.0,0,0.007051225,194.20832625318621
105,20.0,8.0,0,0.007099975,198.30484282073076
106,24.0,8.0,0,0.007120925,209.34035683942238
107,28.0,8.0,0,0.007097167,219.42837723024627
108,32.0,8.0,0,0.007059625,219.3169073916738
109,36.0,8.0,0,0.007027575,222.66100254885305
110,40.0,8.0,0,0.00700075,219.81852166525073
111,44.0,8.0,0,0.006987225,215.38759558198808
112,48.0,8.0,0,0.0069938,209.3960917587085
113,52.0,8.0,0,0.007034725,204.85369583687338
114,56.0,8.0,0,0.0070625,204.68649107901456
115,60.0,8.0,0,0.0070902,216.64163126593053
116,64.0,8.0,0,0.00710585,234.14239592183526
117,68.0,8.0,0,0.007072933,259.1673746813933
118,72.0,8.0,0,0.007015925,294.5033135089211
119,76.0,8.0,0,0.006859025,239.8552251486833
120,80.0,8.0,0,0.0066935,236.73406966864923
121,84.0,8.0,0,0.006771625,265.85556499575205
122,88.0,8.0,0,0.0068132,282.4924384027188
123,92.0,8.0,0,0.00672755,287.0627017841971
124,96.0,8.0,0,0.00662435,289.43143585386565
125,100.0,8.0,0,0.006587733,292.66406117247243
126,104.0,8.0,0,0.006584267,285.94800339847075
127,108.0,8.0,0,0.0065923,288.79048428207307
128,112.0,8.0,0,0.006618225,285.75293118096874
129,116.0,8.0,0,0.006660567,285.41852166525064
130,120.0,8.0,0,0.006690575,259.78045879354295
131,124.0,8.0,0,0.00671225,261.3689039932033
132,128.0,8.0,0,0.0067572,289.98878504672916
133,132.0,8.0,0,0.00680825,265.4654205607478
134,136.0,8.0,0,0.006821733,226.39524214103653
135,140.0,8.0,0,0.006881367,217.97926932880227
136,144.0,8.0,0,0.006944133,217.36618521665264
137,148.0,8.0,0,0.00699955,215.94494477485136
138,152.0,8.0,0,0.007008,222.74460492778235
139,156.0,8.0,0,0.007015467,224.80679694137643
140,160.0,8.0,0,0.007022825,254.7364485981309
141,164.0,8.0,0,0.007027375,286.05947323704345
142,168.0,8.0,0,0.006939467,259.3067119796094
143,172.0,8.0,0,0.006907125,235.00628717077325
144,176.0,8.0,0,0.006879675,237.34715378079864
145,180.0,8.0,0,0.00697105,222.82820730671187
146,184.0,8.0,0,0.006996,238.26677994902298
147,188.0,8.0,0,0.0070331,244.95497026338148
148,192.0,8.0,0,0.00698375,247.01716227697534
149,196.0,8.0,0,0.006959425,247.12863211554804
150,0.0,12.0,0,0.006947533,281.5449447748515
151,4.0,12.0,0,0.006960333,284.02514868309254
152,8.0,12.0,0,0.006876,255.71180968564158
153,12.0,12.0,0,0.0066875,226.95259133389982
154,16.0,12.0,0,0.0067068,210.25998300764672
155,20.0,12.0,0,0.006800067,203.40458793542894
156,24.0,12.0,0,0.0068981,189.86100254885332
157,28.0,12.0,0,0.0070054,194.51486830926092
158,32.0,12.0,0,,210.3993203058626
159,36.0,12.0,0,,212.65658453695846
160,40.0,12.0,0,0.0070101,214.7466440101955
161,44.0,12.0,0,0.007060233,208.72727272727275
162,48.0,12.0,0,0.00706705,200.9243840271879
163,52.0,12.0,0,0.0070709,200.92438402718767
164,56.0,12.0,0,0.007074575,205.41104502973667
165,60.0,12.0,0,0.0070757,211.73695836873412
166,64.0,12.0,0,0.0070713,230.32455395072225
167,68.0,12.0,0,0.0070392,246.90569243840287
168,72.0,12.0,0,0.0070351,253.48241291418867
169,76.0,12.0,0,,269.4225998300767
170,80.0,12.0,0,0.00694065,295.08853016142734
171,84.0,12.0,0,0.006875767,257.4953271028037
172,88.0,12.0,0,0.006813225,226.75751911639782
173,92.0,12.0,0,0.006732825,238.6569243840272
174,96.0,12.0,0,0.006768875,258.97230246389154
175,100.0,12.0,0,0.006824867,275.19116397621065
176,104.0,12.0,0,0.006827525,271.8192013593882
177,108.0,12.0,0,0.006774675,271.48479184367034
178,112.0,12.0,0,0.006679,272.85029736618526
179,116.0,12.0,0,0.0066706,275.6091758708583
180,120.0,12.0,0,0.0066607,275.6927782497878
181,124.0,12.0,0,0.006712867,266.6637213254037
182,128.0,12.0,0,0.0067229,279.8728971962619
183,132.0,12.0,0,0.00672915,284.8611724723876
184,136.0,12.0,0,0.0067525,260.81155480034
185,140.0,12.0,0,0.006765675,261.28530161427375
186,144.0,12.0,0,0.006787125,290.2674596431607
187,148.0,12.0,0,0.006809625,281.461342395922
188,152.0,12.0,0,0.006842025,283.83007646559076
189,156.0,12.0,0,0.006890325,286.58895497026333
190,160.0,12.0,0,0.00691725,250.63993203058635
191,164.0,12.0,0,0.00693225,258.7772302463891
192,168.0,12.0,0,0.006932825,228.48530161427357
193,172.0,12.0,0,0.0068966,233.22276975361092
194,176.0,12.0,0,0.006845175,229.29345794392543
195,180.0,12.0,0,0.0069795,242.11248937977916
196,184.0,12.0,0,0.007003875,234.69974511469854
197,188.0,12.0,0,0.0070111,230.21308411214955
198,192.0,12.0,0,0.0069913,232.55395072217493
199,196.0,12.0,0,0.0069838,230.10161427357684
200,0.0,16.0,0,0.006981,269.1996601529311
201,4.0,16.0,0,0.006988775,285.279184367035
202,8.0,16.0,0,0.006992075,284.1923534409516
203,12.0,16.0,0,0.006777675,259.25097706032307
204,16.0,16.0,0,0.00668715,245.20577740017006
205,20.0,16.0,0,0.006702,227.90008496176733
206,24.0,16.0,0,0.006757775,222.3823279524213
207,28.0,16.0,0,0.0068191,221.434834324554
208,32.0,16.0,0,0.0068814,223.1347493627868
209,36.0,16.0,0,0.0069286,229.18198810535273
210,40.0,16.0,0,0.0069513,247.93678844519968
211,44.0,16.0,0,0.00695605,270.7045029736619
212,48.0,16.0,0,0.00694925,284.9447748513169
213,52.0,16.0,0,0.0069302,292.9427357689042
214,56.0,16.0,0,0.00691095,290.3510620220902
215,60.0,16.0,0,0.0068817,286.70042480883603
216,64.0,16.0,0,0.0068563,290.21172472387434
217,68.0,16.0,0,0.0068353,281.04333050127434
218,72.0,16.0,0,0.0068231,264.3785896346644
219,76.0,16.0,0,0.0067882,262.1770603228547
220,80.0,16.0,0,0.006778975,257.46745964316074
221,84.0,16.0,0,0.0067674,253.23160577740032
222,88.0,16.0,0,0.006765275,234.67187765505537
223,92.0,16.0,0,0.006773175,226.31163976210723
224,96.0,16.0,0,0.00680245,241.220730671198
225,100.0,16.0,0,0.006827767,252.84146134239586
226,104.0,16.0,0,0.00684205,263.3753610875108
227,108.0,16.0,0,0.006845775,253.12013593882762
228,112.0,16.0,0,0.0068303,241.88954970263376
229,116.0,16.0,0,0.00679728,230.04587935429072
230,120.0,16.0,0,0.006777675,232.66542056074763
231,124.0,16.0,0,0.0067767,241.33220050977047
232,128.0,16.0,0,0.00677535,253.39881053525914
233,132.0,16.0,0,0.006799275,269.2832625318606
234,136.0,16.0,0,0.00682805,273.1011045029736
235,140.0,16.0,0,0.0068586,256.38062871707757
236,144.0,16.0,0,0.006855275,252.45131690739186
237,148.0,16.0,0,0.006809675,260.81155480034
238,152.0,16.0,0,0.006795167,261.2016992353442
239,156.0,16.0,0,0.0068087,256.4363636363637
240,160.0,16.0,0,0.006830725,287.5085811384879
241,164.0,16.0,0,0.00684225,231.3556499575193
242,168.0,16.0,0,0.00683184,232.4982158028888
243,172.0,16.0,0,0.00694195,246.59915038232793
244,176.0,16.0,0,0.006879275,234.3932030586236
245,180.0,16.0,0,0.006965,233.69651656754468
246,184.0,16.0,0,0.00698865,240.07816482582825
247,188.0,16.0,0,0.0069717,240.60764655904836
248,192.0,16.0,0,0.006975475,241.6387425658454
249,196.0,16.0,0,0.006966567,234.86694987255737
250,0.0,20.0,0,0.00696825,276.9746813933732
