File,MUESTRA_0_12_35.csv,
Date/Time,23-02-17/16:17,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,1.4050E-007
1192.578800,2.0740E-007
1192.857600,2.2140E-007
1193.136400,1.6580E-007
1193.415200,2.3170E-007
1193.694000,1.8780E-007
1193.972800,2.4480E-007
1194.251600,1.7150E-007
1194.530400,2.0480E-007
1194.809200,2.1230E-007
1195.088000,1.9520E-007
1195.366800,1.9360E-007
1195.645600,1.8780E-007
1195.924400,1.7480E-007
1196.203200,2.0720E-007
1196.482000,1.6240E-007
1196.760800,1.6040E-007
1197.039600,2.3060E-007
1197.318400,1.9790E-007
1197.597200,1.9090E-007
1197.876000,1.6320E-007
1198.154800,1.5900E-007
1198.433600,1.6900E-007
1198.712400,1.8690E-007
1198.991200,1.9530E-007
1199.270000,1.8300E-007
1199.548800,1.4430E-007
1199.827600,1.9420E-007
1200.106400,1.9160E-007
1200.385200,1.4490E-007
1200.664000,1.8860E-007
1200.942800,1.5370E-007
1201.221600,1.6410E-007
1201.500400,1.9750E-007
1201.779200,2.1300E-007
1202.058000,1.8640E-007
1202.336800,1.7610E-007
1202.615600,1.8320E-007
1202.894400,1.7680E-007
1203.173200,1.7020E-007
1203.452000,1.3270E-007
1203.730800,1.4080E-007
1204.009600,2.0100E-007
1204.288400,1.5260E-007
1204.567200,1.3820E-007
1204.846000,1.5980E-007
1205.124800,1.8060E-007
1205.403600,1.7720E-007
1205.682400,1.7550E-007
1205.961200,1.9850E-007
1206.240000,1.9080E-007
1206.518800,1.5400E-007
1206.797600,1.9420E-007
1207.076400,1.8240E-007
1207.355200,1.5540E-007
1207.634000,1.9310E-007
1207.912800,2.2630E-007
1208.191600,2.0130E-007
1208.470400,1.7030E-007
1208.749200,2.1840E-007
1209.028000,1.6420E-007
1209.306800,1.9150E-007
1209.585600,1.6560E-007
1209.864400,1.5500E-007
1210.143200,2.2310E-007
1210.422000,1.7650E-007
1210.700800,2.1540E-007
1210.979600,1.7650E-007
1211.258400,1.2570E-007
1211.537200,2.4090E-007
1211.816000,1.8290E-007
1212.094800,1.7240E-007
1212.373600,1.5380E-007
1212.652400,1.6630E-007
1212.931200,1.9870E-007
1213.210000,2.2490E-007
1213.488800,1.6400E-007
1213.767600,1.6060E-007
1214.046400,1.6350E-007
1214.325200,1.7500E-007
1214.604000,1.5750E-007
1214.882800,1.8710E-007
1215.161600,2.1080E-007
1215.440400,1.8800E-007
1215.719200,1.5490E-007
1215.998000,1.8270E-007
1216.276800,1.2350E-007
1216.555600,1.3330E-007
1216.834400,1.8520E-007
1217.113200,1.2110E-007
1217.392000,1.9490E-007
1217.670800,1.8760E-007
1217.949600,1.8780E-007
1218.228400,1.3090E-007
1218.507200,1.5910E-007
1218.786000,1.6840E-007
1219.064800,2.0760E-007
1219.343600,1.9360E-007
1219.622400,2.1170E-007
1219.901200,1.6880E-007
1220.180000,1.6760E-007
1220.458800,1.8430E-007
1220.737600,1.3380E-007
1221.016400,1.5160E-007
1221.295200,2.3100E-007
1221.574000,1.7860E-007
1221.852800,2.0930E-007
1222.131600,1.8650E-007
1222.410400,2.0950E-007
1222.689200,1.6230E-007
1222.968000,1.8660E-007
1223.246800,1.7150E-007
1223.525600,2.0150E-007
1223.804400,1.7690E-007
1224.083200,1.5250E-007
1224.362000,1.8640E-007
1224.640800,1.9510E-007
1224.919600,1.2600E-007
1225.198400,1.5630E-007
1225.477200,2.0280E-007
1225.756000,1.8300E-007
1226.034800,1.8020E-007
1226.313600,1.4840E-007
1226.592400,1.5100E-007
1226.871200,1.2100E-007
1227.150000,1.5750E-007
1227.428800,1.5200E-007
1227.707600,1.4620E-007
1227.986400,1.3630E-007
1228.265200,1.4200E-007
1228.544000,2.0240E-007
1228.822800,2.0140E-007
1229.101600,2.1190E-007
1229.380400,1.8480E-007
1229.659200,1.6470E-007
1229.938000,1.7860E-007
1230.216800,1.4700E-007
1230.495600,1.5370E-007
1230.774400,1.2580E-007
1231.053200,2.0990E-007
1231.332000,1.9470E-007
1231.610800,1.5380E-007
1231.889600,1.7040E-007
1232.168400,2.0950E-007
1232.447200,1.3070E-007
1232.726000,1.3560E-007
1233.004800,1.4770E-007
1233.283600,1.1480E-007
1233.562400,1.5770E-007
1233.841200,1.4530E-007
1234.120000,1.6420E-007
1234.398800,1.7730E-007
1234.677600,1.3260E-007
1234.956400,1.6490E-007
1235.235200,1.3970E-007
