File,MUESTRA_0_35_50.csv,
Date/Time,23-02-16/21:28,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,7.9700E-007
1192.578800,8.8070E-007
1192.857600,8.0620E-007
1193.136400,8.6810E-007
1193.415200,7.9280E-007
1193.694000,8.5070E-007
1193.972800,7.9860E-007
1194.251600,8.3450E-007
1194.530400,8.5060E-007
1194.809200,8.4200E-007
1195.088000,8.3770E-007
1195.366800,8.7550E-007
1195.645600,8.4190E-007
1195.924400,8.5010E-007
1196.203200,8.5710E-007
1196.482000,8.4320E-007
1196.760800,8.3820E-007
1197.039600,8.0090E-007
1197.318400,7.9340E-007
1197.597200,8.2110E-007
1197.876000,8.6000E-007
1198.154800,8.4360E-007
1198.433600,8.4440E-007
1198.712400,8.4520E-007
1198.991200,9.1390E-007
1199.270000,7.9470E-007
1199.548800,8.9420E-007
1199.827600,8.3920E-007
1200.106400,8.2850E-007
1200.385200,8.5390E-007
1200.664000,8.1840E-007
1200.942800,8.6600E-007
1201.221600,8.7170E-007
1201.500400,8.2320E-007
1201.779200,8.4580E-007
1202.058000,8.3620E-007
1202.336800,8.6110E-007
1202.615600,8.3370E-007
1202.894400,7.8160E-007
1203.173200,8.5730E-007
1203.452000,8.2920E-007
1203.730800,8.1710E-007
1204.009600,8.9620E-007
1204.288400,8.3720E-007
1204.567200,8.4970E-007
1204.846000,8.6900E-007
1205.124800,8.7090E-007
1205.403600,8.2020E-007
1205.682400,7.7760E-007
1205.961200,8.5670E-007
1206.240000,8.2440E-007
1206.518800,8.1950E-007
1206.797600,7.9960E-007
1207.076400,8.2770E-007
1207.355200,9.1680E-007
1207.634000,7.5200E-007
1207.912800,8.0380E-007
1208.191600,8.0910E-007
1208.470400,7.6640E-007
1208.749200,8.3500E-007
1209.028000,8.2350E-007
1209.306800,8.0680E-007
1209.585600,8.0020E-007
1209.864400,8.6830E-007
1210.143200,8.1830E-007
1210.422000,8.8820E-007
1210.700800,8.0900E-007
1210.979600,7.5320E-007
1211.258400,7.6260E-007
1211.537200,8.5000E-007
1211.816000,8.4210E-007
1212.094800,8.1780E-007
1212.373600,8.1000E-007
1212.652400,8.5790E-007
1212.931200,8.1950E-007
1213.210000,8.2740E-007
1213.488800,8.3760E-007
1213.767600,8.2890E-007
1214.046400,7.9950E-007
1214.325200,8.3500E-007
1214.604000,8.3100E-007
1214.882800,8.1800E-007
1215.161600,8.3820E-007
1215.440400,8.0340E-007
1215.719200,8.3070E-007
1215.998000,7.8370E-007
1216.276800,8.4290E-007
1216.555600,7.9380E-007
1216.834400,8.2180E-007
1217.113200,8.0160E-007
1217.392000,8.0580E-007
1217.670800,7.9900E-007
1217.949600,8.3130E-007
1218.228400,7.7470E-007
1218.507200,8.4370E-007
1218.786000,8.3120E-007
1219.064800,7.9880E-007
1219.343600,7.9420E-007
1219.622400,8.2920E-007
1219.901200,8.4780E-007
1220.180000,7.6240E-007
1220.458800,8.0040E-007
1220.737600,8.1690E-007
1221.016400,8.1870E-007
1221.295200,8.3150E-007
1221.574000,7.7930E-007
1221.852800,8.0700E-007
1222.131600,7.9640E-007
1222.410400,8.0730E-007
1222.689200,7.9190E-007
1222.968000,8.1220E-007
1223.246800,7.9980E-007
1223.525600,8.1390E-007
1223.804400,7.7640E-007
1224.083200,8.0680E-007
1224.362000,8.3770E-007
1224.640800,7.8160E-007
1224.919600,7.4660E-007
1225.198400,7.9210E-007
1225.477200,8.0800E-007
1225.756000,8.3450E-007
1226.034800,7.6060E-007
1226.313600,7.9150E-007
1226.592400,7.8000E-007
1226.871200,8.1500E-007
1227.150000,7.6030E-007
1227.428800,7.9740E-007
1227.707600,7.5140E-007
1227.986400,7.9300E-007
1228.265200,7.8140E-007
1228.544000,7.9430E-007
1228.822800,7.8080E-007
1229.101600,8.1380E-007
1229.380400,8.0520E-007
1229.659200,8.2710E-007
1229.938000,7.7520E-007
1230.216800,8.1260E-007
1230.495600,7.3310E-007
1230.774400,8.1310E-007
1231.053200,8.1660E-007
1231.332000,8.1450E-007
1231.610800,8.1570E-007
1231.889600,7.9570E-007
1232.168400,7.9340E-007
1232.447200,8.2380E-007
1232.726000,8.1940E-007
1233.004800,8.3270E-007
1233.283600,7.5650E-007
1233.562400,8.2270E-007
1233.841200,8.5030E-007
1234.120000,7.4490E-007
1234.398800,8.2340E-007
1234.677600,7.9590E-007
1234.956400,7.4730E-007
1235.235200,7.9950E-007
