File,MUESTRA_0_35_5.csv,
Date/Time,23-02-17/18:55,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,1.8060E-007
1192.578800,1.6350E-007
1192.857600,2.2510E-007
1193.136400,1.9260E-007
1193.415200,1.6670E-007
1193.694000,1.8270E-007
1193.972800,1.6900E-007
1194.251600,1.9470E-007
1194.530400,1.8100E-007
1194.809200,1.9440E-007
1195.088000,1.6710E-007
1195.366800,1.8850E-007
1195.645600,2.0880E-007
1195.924400,2.0720E-007
1196.203200,2.0520E-007
1196.482000,2.0220E-007
1196.760800,1.8780E-007
1197.039600,2.0130E-007
1197.318400,1.6280E-007
1197.597200,1.5070E-007
1197.876000,1.9310E-007
1198.154800,1.9340E-007
1198.433600,1.8200E-007
1198.712400,1.5620E-007
1198.991200,1.7000E-007
1199.270000,1.8970E-007
1199.548800,2.0700E-007
1199.827600,1.8250E-007
1200.106400,1.7490E-007
1200.385200,1.7460E-007
1200.664000,1.5640E-007
1200.942800,1.6080E-007
1201.221600,1.5680E-007
1201.500400,1.9340E-007
1201.779200,1.6440E-007
1202.058000,1.5590E-007
1202.336800,1.9330E-007
1202.615600,1.2640E-007
1202.894400,1.9380E-007
1203.173200,1.9400E-007
1203.452000,1.3590E-007
1203.730800,2.0940E-007
1204.009600,1.5700E-007
1204.288400,1.9700E-007
1204.567200,1.5270E-007
1204.846000,2.0820E-007
1205.124800,2.0020E-007
1205.403600,1.7660E-007
1205.682400,2.0490E-007
1205.961200,1.4250E-007
1206.240000,1.5210E-007
1206.518800,1.5980E-007
1206.797600,1.7890E-007
1207.076400,1.5240E-007
1207.355200,1.6120E-007
1207.634000,1.9290E-007
1207.912800,1.6660E-007
1208.191600,1.5990E-007
1208.470400,1.9600E-007
1208.749200,2.0680E-007
1209.028000,1.6020E-007
1209.306800,2.0360E-007
1209.585600,1.9360E-007
1209.864400,1.5820E-007
1210.143200,1.6440E-007
1210.422000,2.4710E-007
1210.700800,1.5460E-007
1210.979600,1.6820E-007
1211.258400,1.8630E-007
1211.537200,1.7080E-007
1211.816000,2.0890E-007
1212.094800,2.0310E-007
1212.373600,1.7760E-007
1212.652400,1.8570E-007
1212.931200,1.6860E-007
1213.210000,1.8660E-007
1213.488800,1.7090E-007
1213.767600,1.5740E-007
1214.046400,1.4050E-007
1214.325200,2.2380E-007
1214.604000,1.4680E-007
1214.882800,1.8120E-007
1215.161600,2.0080E-007
1215.440400,1.8330E-007
1215.719200,1.9610E-007
1215.998000,2.2290E-007
1216.276800,1.4370E-007
1216.555600,1.7920E-007
1216.834400,1.8210E-007
1217.113200,1.6990E-007
1217.392000,1.8950E-007
1217.670800,1.1880E-007
1217.949600,1.5600E-007
1218.228400,1.9140E-007
1218.507200,1.8180E-007
1218.786000,2.0500E-007
1219.064800,2.0450E-007
1219.343600,1.6950E-007
1219.622400,1.3600E-007
1219.901200,1.9100E-007
1220.180000,1.6090E-007
1220.458800,1.2040E-007
1220.737600,1.2510E-007
1221.016400,2.1560E-007
1221.295200,1.6090E-007
1221.574000,1.8140E-007
1221.852800,1.5010E-007
1222.131600,1.9250E-007
1222.410400,1.4880E-007
1222.689200,1.5900E-007
1222.968000,1.7020E-007
1223.246800,1.5810E-007
1223.525600,1.9160E-007
1223.804400,1.9550E-007
1224.083200,1.9280E-007
1224.362000,1.6990E-007
1224.640800,1.3580E-007
1224.919600,1.9170E-007
1225.198400,1.7400E-007
1225.477200,2.1650E-007
1225.756000,9.3480E-008
1226.034800,1.7710E-007
1226.313600,1.6430E-007
1226.592400,1.7590E-007
1226.871200,1.6880E-007
1227.150000,1.5870E-007
1227.428800,1.4340E-007
1227.707600,1.9110E-007
1227.986400,1.2500E-007
1228.265200,2.1170E-007
1228.544000,1.4870E-007
1228.822800,1.8400E-007
1229.101600,1.4230E-007
1229.380400,1.5690E-007
1229.659200,1.9980E-007
1229.938000,2.0510E-007
1230.216800,1.9830E-007
1230.495600,1.7400E-007
1230.774400,1.3370E-007
1231.053200,1.8380E-007
1231.332000,1.4460E-007
1231.610800,1.7790E-007
1231.889600,1.6770E-007
1232.168400,1.3480E-007
1232.447200,1.7520E-007
1232.726000,1.5450E-007
1233.004800,1.4510E-007
1233.283600,1.5310E-007
1233.562400,1.3490E-007
1233.841200,1.3310E-007
1234.120000,1.7390E-007
1234.398800,1.9190E-007
1234.677600,1.7260E-007
1234.956400,1.7370E-007
1235.235200,1.7970E-007
