File,MUESTRA_0_38_4.csv,
Date/Time,23-02-16/21:43,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,8.7750E-007
1192.578800,8.4830E-007
1192.857600,8.6370E-007
1193.136400,8.4320E-007
1193.415200,8.4410E-007
1193.694000,8.3610E-007
1193.972800,8.3010E-007
1194.251600,8.3750E-007
1194.530400,8.0150E-007
1194.809200,8.4890E-007
1195.088000,8.3670E-007
1195.366800,8.4490E-007
1195.645600,8.6410E-007
1195.924400,8.3220E-007
1196.203200,8.5500E-007
1196.482000,8.1030E-007
1196.760800,8.3070E-007
1197.039600,8.8480E-007
1197.318400,8.2450E-007
1197.597200,8.0690E-007
1197.876000,8.4760E-007
1198.154800,8.3550E-007
1198.433600,8.1950E-007
1198.712400,8.8030E-007
1198.991200,7.8630E-007
1199.270000,8.1980E-007
1199.548800,8.8520E-007
1199.827600,8.4930E-007
1200.106400,8.9020E-007
1200.385200,9.0650E-007
1200.664000,8.1670E-007
1200.942800,8.0960E-007
1201.221600,8.3350E-007
1201.500400,8.1020E-007
1201.779200,8.6840E-007
1202.058000,8.2100E-007
1202.336800,8.3520E-007
1202.615600,8.2890E-007
1202.894400,7.8790E-007
1203.173200,8.3720E-007
1203.452000,8.4590E-007
1203.730800,8.5240E-007
1204.009600,8.5060E-007
1204.288400,8.2770E-007
1204.567200,8.1500E-007
1204.846000,8.6040E-007
1205.124800,8.2220E-007
1205.403600,8.1210E-007
1205.682400,8.4010E-007
1205.961200,8.2660E-007
1206.240000,8.0160E-007
1206.518800,8.3190E-007
1206.797600,8.2490E-007
1207.076400,7.7890E-007
1207.355200,8.0270E-007
1207.634000,8.1940E-007
1207.912800,8.1130E-007
1208.191600,8.2320E-007
1208.470400,7.7970E-007
1208.749200,7.8070E-007
1209.028000,8.0230E-007
1209.306800,8.2220E-007
1209.585600,8.5920E-007
1209.864400,8.2180E-007
1210.143200,8.1610E-007
1210.422000,8.4670E-007
1210.700800,8.2170E-007
1210.979600,7.9690E-007
1211.258400,8.3310E-007
1211.537200,8.0370E-007
1211.816000,7.7670E-007
1212.094800,8.1340E-007
1212.373600,8.2040E-007
1212.652400,8.0420E-007
1212.931200,7.6240E-007
1213.210000,8.0450E-007
1213.488800,7.9480E-007
1213.767600,8.1140E-007
1214.046400,7.7330E-007
1214.325200,7.7180E-007
1214.604000,8.0140E-007
1214.882800,7.7660E-007
1215.161600,7.9480E-007
1215.440400,8.1960E-007
1215.719200,8.5810E-007
1215.998000,7.4580E-007
1216.276800,7.9180E-007
1216.555600,8.0270E-007
1216.834400,8.4880E-007
1217.113200,8.6970E-007
1217.392000,8.2040E-007
1217.670800,8.4260E-007
1217.949600,7.9680E-007
1218.228400,7.7490E-007
1218.507200,7.9360E-007
1218.786000,7.9050E-007
1219.064800,7.8250E-007
1219.343600,7.8080E-007
1219.622400,8.5400E-007
1219.901200,8.3650E-007
1220.180000,7.9820E-007
1220.458800,8.2030E-007
1220.737600,7.7430E-007
1221.016400,8.0880E-007
1221.295200,7.6310E-007
1221.574000,8.3470E-007
1221.852800,7.6880E-007
1222.131600,8.1100E-007
1222.410400,8.2460E-007
1222.689200,8.1870E-007
1222.968000,8.1440E-007
1223.246800,7.9890E-007
1223.525600,8.1210E-007
1223.804400,7.6410E-007
1224.083200,7.9680E-007
1224.362000,7.9520E-007
1224.640800,8.0640E-007
1224.919600,8.7240E-007
1225.198400,8.2730E-007
1225.477200,7.3720E-007
1225.756000,8.0940E-007
1226.034800,7.7250E-007
1226.313600,7.6920E-007
1226.592400,8.2490E-007
1226.871200,7.7290E-007
1227.150000,8.1310E-007
1227.428800,8.1140E-007
1227.707600,7.7700E-007
1227.986400,7.7780E-007
1228.265200,8.1350E-007
1228.544000,7.9040E-007
1228.822800,7.7780E-007
1229.101600,7.9770E-007
1229.380400,8.1050E-007
1229.659200,7.5780E-007
1229.938000,7.7490E-007
1230.216800,8.2780E-007
1230.495600,7.6720E-007
1230.774400,7.7280E-007
1231.053200,8.2580E-007
1231.332000,7.8010E-007
1231.610800,7.8990E-007
1231.889600,7.6960E-007
1232.168400,7.8480E-007
1232.447200,7.9950E-007
1232.726000,7.5860E-007
1233.004800,8.1340E-007
1233.283600,7.9600E-007
1233.562400,7.7430E-007
1233.841200,7.9540E-007
1234.120000,7.3020E-007
1234.398800,7.3420E-007
1234.677600,8.4150E-007
1234.956400,7.5190E-007
1235.235200,7.7490E-007
