File,WaveData20230131_125.csv,
Date/Time,23-01-31/16:53,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1259.014400,1.6520E-006,1259.014400,1.6520E-006
1259.114560,9.0550E-007,1259.114560,9.0550E-007
1259.214720,4.9350E-007,1259.214720,4.9350E-007
1259.314880,2.0620E-006,1259.314880,2.0620E-006
1259.415040,1.3210E-006,1259.415040,1.3210E-006
1259.515200,1.0590E-006,1259.515200,1.0590E-006
1259.615360,1.5470E-006,1259.615360,1.5470E-006
1259.715520,1.5340E-006,1259.715520,1.5340E-006
1259.815680,1.1530E-006,1259.815680,1.1530E-006
1259.915840,1.8120E-006,1259.915840,1.8120E-006
1260.016000,1.6630E-006,1260.016000,1.6630E-006
1260.116160,3.8800E-007,1260.116160,3.8800E-007
1260.216320,2.0130E-006,1260.216320,2.0130E-006
1260.316480,1.0540E-006,1260.316480,1.0540E-006
1260.416640,1.7480E-006,1260.416640,1.7480E-006
1260.516800,1.9540E-006,1260.516800,1.9540E-006
1260.616960,1.1730E-006,1260.616960,1.1730E-006
1260.717120,1.4400E-006,1260.717120,1.4400E-006
1260.817280,8.0130E-007,1260.817280,8.0130E-007
1260.917440,1.1360E-006,1260.917440,1.1360E-006
1261.017600,1.0220E-006,1261.017600,1.0220E-006
1261.117760,1.2400E-006,1261.117760,1.2400E-006
1261.217920,1.5550E-006,1261.217920,1.5550E-006
1261.318080,1.1150E-006,1261.318080,1.1150E-006
1261.418240,1.1500E-006,1261.418240,1.1500E-006
1261.518400,1.8830E-006,1261.518400,1.8830E-006
1261.618560,1.4570E-006,1261.618560,1.4570E-006
1261.718720,1.3690E-006,1261.718720,1.3690E-006
1261.818880,1.3550E-006,1261.818880,1.3550E-006
1261.919040,8.6580E-007,1261.919040,8.6580E-007
1262.019200,1.7090E-006,1262.019200,1.7090E-006
1262.119360,2.0510E-006,1262.119360,2.0510E-006
1262.219520,1.4390E-006,1262.219520,1.4390E-006
1262.319680,1.5300E-006,1262.319680,1.5300E-006
1262.419840,2.4320E-006,1262.419840,2.4320E-006
1262.520000,1.9920E-006,1262.520000,1.9920E-006
1262.620160,8.0560E-007,1262.620160,8.0560E-007
1262.720320,1.7390E-006,1262.720320,1.7390E-006
1262.820480,2.7010E-006,1262.820480,2.7010E-006
1262.920640,6.9680E-007,1262.920640,6.9680E-007
1263.020800,1.2040E-006,1263.020800,1.2040E-006
