File,WaveData20230131_123.csv,
Date/Time,23-01-31/16:52,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1259.014400,1.1970E-006,1259.014400,1.1970E-006
1259.114560,1.7480E-006,1259.114560,1.7480E-006
1259.214720,1.6870E-006,1259.214720,1.6870E-006
1259.314880,1.5490E-006,1259.314880,1.5490E-006
1259.415040,9.3460E-007,1259.415040,9.3460E-007
1259.515200,1.3480E-006,1259.515200,1.3480E-006
1259.615360,1.4810E-006,1259.615360,1.4810E-006
1259.715520,2.5290E-006,1259.715520,2.5290E-006
1259.815680,1.7840E-006,1259.815680,1.7840E-006
1259.915840,1.6120E-006,1259.915840,1.6120E-006
1260.016000,1.4620E-006,1260.016000,1.4620E-006
1260.116160,1.9170E-006,1260.116160,1.9170E-006
1260.216320,9.7230E-007,1260.216320,9.7230E-007
1260.316480,1.6240E-006,1260.316480,1.6240E-006
1260.416640,1.9720E-006,1260.416640,1.9720E-006
1260.516800,3.2150E-006,1260.516800,3.2150E-006
1260.616960,6.3160E-007,1260.616960,6.3160E-007
1260.717120,2.5630E-006,1260.717120,2.5630E-006
1260.817280,1.4540E-006,1260.817280,1.4540E-006
1260.917440,2.9170E-006,1260.917440,2.9170E-006
1261.017600,1.9910E-006,1261.017600,1.9910E-006
1261.117760,1.1680E-006,1261.117760,1.1680E-006
1261.217920,1.7870E-006,1261.217920,1.7870E-006
1261.318080,1.5520E-006,1261.318080,1.5520E-006
1261.418240,1.7730E-006,1261.418240,1.7730E-006
1261.518400,1.4070E-006,1261.518400,1.4070E-006
1261.618560,2.3380E-006,1261.618560,2.3380E-006
1261.718720,1.4240E-006,1261.718720,1.4240E-006
1261.818880,1.8010E-006,1261.818880,1.8010E-006
1261.919040,2.0420E-006,1261.919040,2.0420E-006
1262.019200,1.3980E-007,1262.019200,1.3980E-007
1262.119360,2.1440E-006,1262.119360,2.1440E-006
1262.219520,1.4050E-006,1262.219520,1.4050E-006
1262.319680,2.2360E-006,1262.319680,2.2360E-006
1262.419840,1.0120E-006,1262.419840,1.0120E-006
1262.520000,2.2250E-006,1262.520000,2.2250E-006
1262.620160,1.8200E-006,1262.620160,1.8200E-006
1262.720320,1.9640E-006,1262.720320,1.9640E-006
1262.820480,1.4260E-006,1262.820480,1.4260E-006
1262.920640,1.4890E-006,1262.920640,1.4890E-006
1263.020800,1.3130E-006,1263.020800,1.3130E-006
1263.120960,1.6850E-006,1263.120960,1.6850E-006
1263.221120,2.2260E-006,1263.221120,2.2260E-006
1263.321280,1.4360E-006,1263.321280,1.4360E-006
1263.421440,2.0670E-006,1263.421440,2.0670E-006
1263.521600,1.3010E-006,1263.521600,1.3010E-006
1263.621760,1.7860E-006,1263.621760,1.7860E-006
1263.721920,1.9740E-006,1263.721920,1.9740E-006
1263.822080,1.9460E-006,1263.822080,1.9460E-006
1263.922240,8.8860E-007,1263.922240,8.8860E-007
1264.022400,2.1610E-006,1264.022400,2.1610E-006
1264.122560,1.6660E-006,1264.122560,1.6660E-006
1264.222720,6.8280E-007,1264.222720,6.8280E-007
1264.322880,1.9200E-006,1264.322880,1.9200E-006
1264.423040,1.2890E-006,1264.423040,1.2890E-006
1264.523200,3.9940E-007,1264.523200,3.9940E-007
1264.623360,1.0530E-006,1264.623360,1.0530E-006
1264.723520,2.4600E-006,1264.723520,2.4600E-006
1264.823680,1.6170E-006,1264.823680,1.6170E-006
1264.923840,2.0350E-006,1264.923840,2.0350E-006
1265.024000,1.4770E-006,1265.024000,1.4770E-006
1265.124160,1.9870E-006,1265.124160,1.9870E-006
1265.224320,1.4700E-006,1265.224320,1.4700E-006
1265.324480,1.7110E-006,1265.324480,1.7110E-006
1265.424640,9.5340E-007,1265.424640,9.5340E-007
1265.524800,2.2270E-006,1265.524800,2.2270E-006
1265.624960,1.4270E-006,1265.624960,1.4270E-006
1265.725120,1.4970E-006,1265.725120,1.4970E-006
1265.825280,1.8900E-006,1265.825280,1.8900E-006
1265.925440,1.5380E-006,1265.925440,1.5380E-006
1266.025600,2.4100E-006,1266.025600,2.4100E-006
1266.125760,2.2330E-006,1266.125760,2.2330E-006
1266.225920,1.2010E-006,1266.225920,1.2010E-006
1266.326080,2.3740E-006,1266.326080,2.3740E-006
1266.426240,1.1540E-006,1266.426240,1.1540E-006
1266.526400,1.5200E-006,1266.526400,1.5200E-006
1266.626560,1.7930E-006,1266.626560,1.7930E-006
1266.726720,1.3260E-006,1266.726720,1.3260E-006
1266.826880,3.1130E-006,1266.826880,3.1130E-006
1266.927040,1.9970E-006,1266.927040,1.9970E-006
1267.027200,1.2690E-006,1267.027200,1.2690E-006
1267.127360,1.3180E-006,1267.127360,1.3180E-006
1267.227520,2.2740E-006,1267.227520,2.2740E-006
1267.327680,2.4760E-006,1267.327680,2.4760E-006
1267.427840,1.2320E-006,1267.427840,1.2320E-006
1267.528000,1.8600E-006,1267.528000,1.8600E-006
1267.628160,1.8180E-006,1267.628160,1.8180E-006
