1509.450000,3.0530E-009,1509.450000,3.0530E-009,1509.450000,3.0530E-009
1509.500000,-6.4520E-009,1509.500000,-6.4520E-009,1509.500000,-6.4520E-009
1509.550000,1.7920E-008,1509.550000,1.7920E-008,1509.550000,1.7920E-008
1509.600000,4.0880E-008,1509.600000,4.0880E-008,1509.600000,4.0880E-008
1509.650000,4.6870E-008,1509.650000,4.6870E-008,1509.650000,4.6870E-008
1509.700000,2.5890E-008,1509.700000,2.5890E-008,1509.700000,2.5890E-008
1509.750000,2.6890E-009,1509.750000,2.6890E-009,1509.750000,2.6890E-009
1509.800000,7.1460E-008,1509.800000,7.1460E-008,1509.800000,7.1460E-008
1509.850000,-1.5300E-008,1509.850000,-1.5300E-008,1509.850000,-1.5300E-008
1509.900000,-3.2920E-009,1509.900000,-3.2920E-009,1509.900000,-3.2920E-009
1509.950000,4.4920E-008,1509.950000,4.4920E-008,1509.950000,4.4920E-008
1510.000000,6.1890E-008,1510.000000,6.1890E-008,1510.000000,6.1890E-008
1510.050000,2.3350E-009,1510.050000,2.3350E-009,1510.050000,2.3350E-009
1510.100000,6.0390E-008,1510.100000,6.0390E-008,1510.100000,6.0390E-008
1510.150000,-1.9790E-008,1510.150000,-1.9790E-008,1510.150000,-1.9790E-008
1510.200000,1.1990E-008,1510.200000,1.1990E-008,1510.200000,1.1990E-008
1510.250000,3.6590E-008,1510.250000,3.6590E-008,1510.250000,3.6590E-008
1510.300000,-3.1310E-009,1510.300000,-3.1310E-009,1510.300000,-3.1310E-009
1510.350000,7.2020E-009,1510.350000,7.2020E-009,1510.350000,7.2020E-009
1510.400000,-4.1640E-008,1510.400000,-4.1640E-008,1510.400000,-4.1640E-008
1510.450000,2.5610E-008,1510.450000,2.5610E-008,1510.450000,2.5610E-008
1510.500000,3.6990E-008,1510.500000,3.6990E-008,1510.500000,3.6990E-008
1510.550000,8.0540E-009,1510.550000,8.0540E-009,1510.550000,8.0540E-009
1510.600000,3.4980E-008,1510.600000,3.4980E-008,1510.600000,3.4980E-008
1510.650000,4.1330E-008,1510.650000,4.1330E-008,1510.650000,4.1330E-008
1510.700000,1.0770E-008,1510.700000,1.0770E-008,1510.700000,1.0770E-008
1510.750000,-7.3020E-009,1510.750000,-7.3020E-009,1510.750000,-7.3020E-009
1510.800000,2.6750E-008,1510.800000,2.6750E-008,1510.800000,2.6750E-008
1510.850000,3.6050E-008,1510.850000,3.6050E-008,1510.850000,3.6050E-008
1510.900000,4.1760E-008,1510.900000,4.1760E-008,1510.900000,4.1760E-008
1510.950000,1.9540E-008,1510.950000,1.9540E-008,1510.950000,1.9540E-008
1511.000000,7.3250E-009,1511.000000,7.3250E-009,1511.000000,7.3250E-009
1511.050000,-3.5010E-009,1511.050000,-3.5010E-009,1511.050000,-3.5010E-009
1511.100000,1.9910E-008,1511.100000,1.9910E-008,1511.100000,1.9910E-008
1511.150000,6.1410E-010,1511.150000,6.1410E-010,1511.150000,6.1410E-010
1511.200000,-7.4340E-010,1511.200000,-7.4340E-010,1511.200000,-7.4340E-010
1511.250000,-1.7810E-008,1511.250000,-1.7810E-008,1511.250000,-1.7810E-008
1511.300000,1.5340E-008,1511.300000,1.5340E-008,1511.300000,1.5340E-008
1511.350000,1.8580E-008,1511.350000,1.8580E-008,1511.350000,1.8580E-008
1511.400000,8.1910E-010,1511.400000,8.1910E-010,1511.400000,8.1910E-010
1511.450000,8.4930E-009,1511.450000,8.4930E-009,1511.450000,8.4930E-009
1511.500000,4.0550E-008,1511.500000,4.0550E-008,1511.500000,4.0550E-008
1511.550000,-8.3110E-009,1511.550000,-8.3110E-009,1511.550000,-8.3110E-009
1511.600000,3.3150E-008,1511.600000,3.3150E-008,1511.600000,3.3150E-008
1511.650000,1.0380E-008,1511.650000,1.0380E-008,1511.650000,1.0380E-008
1511.700000,-4.2150E-008,1511.700000,-4.2150E-008,1511.700000,-4.2150E-008
1511.750000,2.1360E-008,1511.750000,2.1360E-008,1511.750000,2.1360E-008
1511.800000,1.4390E-008,1511.800000,1.4390E-008,1511.800000,1.4390E-008
1511.850000,5.3010E-008,1511.850000,5.3010E-008,1511.850000,5.3010E-008
1511.900000,2.6390E-008,1511.900000,2.6390E-008,1511.900000,2.6390E-008
1511.950000,-2.1650E-008,1511.950000,-2.1650E-008,1511.950000,-2.1650E-008
1512.000000,5.8560E-008,1512.000000,5.8560E-008,1512.000000,5.8560E-008
1512.050000,-9.0600E-009,1512.050000,-9.0600E-009,1512.050000,-9.0600E-009
1512.100000,1.7950E-008,1512.100000,1.7950E-008,1512.100000,1.7950E-008
1512.150000,2.4130E-008,1512.150000,2.4130E-008,1512.150000,2.4130E-008
1512.200000,-4.7960E-008,1512.200000,-4.7960E-008,1512.200000,-4.7960E-008
1512.250000,5.1040E-008,1512.250000,5.1040E-008,1512.250000,5.1040E-008
1512.300000,-2.4560E-008,1512.300000,-2.4560E-008,1512.300000,-2.4560E-008
1512.350000,7.3050E-009,1512.350000,7.3050E-009,1512.350000,7.3050E-009
1512.400000,1.5310E-008,1512.400000,1.5310E-008,1512.400000,1.5310E-008
1512.450000,8.7420E-010,1512.450000,8.7420E-010,1512.450000,8.7420E-010
1512.500000,2.1390E-008,1512.500000,2.1390E-008,1512.500000,2.1390E-008
1512.550000,2.0150E-008,1512.550000,2.0150E-008,1512.550000,2.0150E-008
1512.600000,3.4990E-008,1512.600000,3.4990E-008,1512.600000,3.4990E-008
1512.650000,3.9830E-008,1512.650000,3.9830E-008,1512.650000,3.9830E-008
1512.700000,-6.0340E-009,1512.700000,-6.0340E-009,1512.700000,-6.0340E-009
1512.750000,1.2590E-008,1512.750000,1.2590E-008,1512.750000,1.2590E-008
1512.800000,7.0180E-010,1512.800000,7.0180E-010,1512.800000,7.0180E-010
1512.850000,2.7340E-008,1512.850000,2.7340E-008,1512.850000,2.7340E-008
1512.900000,-3.5730E-008,1512.900000,-3.5730E-008,1512.900000,-3.5730E-008
1512.950000,-3.6380E-009,1512.950000,-3.6380E-009,1512.950000,-3.6380E-009
1513.000000,4.8650E-008,1513.000000,4.8650E-008,1513.000000,4.8650E-008
1513.050000,-7.3320E-009,1513.050000,-7.3320E-009,1513.050000,-7.3320E-009
1513.100000,-1.9120E-008,1513.100000,-1.9120E-008,1513.100000,-1.9120E-008
1513.150000,-4.3740E-009,1513.150000,-4.3740E-009,1513.150000,-4.3740E-009
1513.200000,3.3160E-008,1513.200000,3.3160E-008,1513.200000,3.3160E-008
1513.250000,4.2840E-008,1513.250000,4.2840E-008,1513.250000,4.2840E-008
1513.300000,1.6230E-008,1513.300000,1.6230E-008,1513.300000,1.6230E-008
1513.350000,9.0630E-009,1513.350000,9.0630E-009,1513.350000,9.0630E-009
1513.400000,3.4150E-008,1513.400000,3.4150E-008,1513.400000,3.4150E-008
1513.450000,2.4390E-008,1513.450000,2.4390E-008,1513.450000,2.4390E-008
1513.500000,-1.7740E-008,1513.500000,-1.7740E-008,1513.500000,-1.7740E-008
1513.550000,4.4850E-008,1513.550000,4.4850E-008,1513.550000,4.4850E-008
1513.600000,5.8090E-008,1513.600000,5.8090E-008,1513.600000,5.8090E-008
1513.650000,-1.0950E-008,1513.650000,-1.0950E-008,1513.650000,-1.0950E-008
1513.700000,4.3130E-008,1513.700000,4.3130E-008,1513.700000,4.3130E-008
1513.750000,-1.2670E-008,1513.750000,-1.2670E-008,1513.750000,-1.2670E-008
1513.800000,-6.4850E-011,1513.800000,-6.4850E-011,1513.800000,-6.4850E-011
1513.850000,4.5490E-008,1513.850000,4.5490E-008,1513.850000,4.5490E-008
1513.900000,2.9000E-008,1513.900000,2.9000E-008,1513.900000,2.9000E-008
1513.950000,-1.3960E-008,1513.950000,-1.3960E-008,1513.950000,-1.3960E-008
1514.000000,3.8670E-008,1514.000000,3.8670E-008,1514.000000,3.8670E-008
1514.050000,3.8310E-008,1514.050000,3.8310E-008,1514.050000,3.8310E-008
1514.100000,1.9360E-008,1514.100000,1.9360E-008,1514.100000,1.9360E-008
1514.150000,9.0270E-008,1514.150000,9.0270E-008,1514.150000,9.0270E-008
1514.200000,1.0960E-008,1514.200000,1.0960E-008,1514.200000,1.0960E-008
1514.250000,2.2260E-008,1514.250000,2.2260E-008,1514.250000,2.2260E-008
1514.300000,4.6790E-008,1514.300000,4.6790E-008,1514.300000,4.6790E-008
1514.350000,-3.1310E-008,1514.350000,-3.1310E-008,1514.350000,-3.1310E-008
1514.400000,6.8820E-008,1514.400000,6.8820E-008,1514.400000,6.8820E-008
1514.450000,4.5880E-008,1514.450000,4.5880E-008,1514.450000,4.5880E-008
1514.500000,-8.9790E-010,1514.500000,-8.9790E-010,1514.500000,-8.9790E-010
1514.550000,2.4000E-008,1514.550000,2.4000E-008,1514.550000,2.4000E-008
1514.600000,3.7170E-008,1514.600000,3.7170E-008,1514.600000,3.7170E-008
1514.650000,-1.3580E-008,1514.650000,-1.3580E-008,1514.650000,-1.3580E-008
1514.700000,6.4500E-008,1514.700000,6.4500E-008,1514.700000,6.4500E-008
1514.750000,2.3380E-009,1514.750000,2.3380E-009,1514.750000,2.3380E-009
1514.800000,5.0520E-008,1514.800000,5.0520E-008,1514.800000,5.0520E-008
1514.850000,2.7080E-008,1514.850000,2.7080E-008,1514.850000,2.7080E-008
1514.900000,2.2220E-008,1514.900000,2.2220E-008,1514.900000,2.2220E-008
1514.950000,4.0230E-008,1514.950000,4.0230E-008,1514.950000,4.0230E-008
1515.000000,-4.1910E-009,1515.000000,-4.1910E-009,1515.000000,-4.1910E-009
1515.050000,2.0750E-008,1515.050000,2.0750E-008,1515.050000,2.0750E-008
1515.100000,2.6420E-008,1515.100000,2.6420E-008,1515.100000,2.6420E-008
1515.150000,1.9410E-008,1515.150000,1.9410E-008,1515.150000,1.9410E-008
1515.200000,3.9600E-008,1515.200000,3.9600E-008,1515.200000,3.9600E-008
1515.250000,3.4730E-008,1515.250000,3.4730E-008,1515.250000,3.4730E-008
1515.300000,-1.3350E-008,1515.300000,-1.3350E-008,1515.300000,-1.3350E-008
1515.350000,5.2470E-008,1515.350000,5.2470E-008,1515.350000,5.2470E-008
1515.400000,-1.9510E-010,1515.400000,-1.9510E-010,1515.400000,-1.9510E-010
1515.450000,-1.1140E-008,1515.450000,-1.1140E-008,1515.450000,-1.1140E-008
1515.500000,-1.9900E-008,1515.500000,-1.9900E-008,1515.500000,-1.9900E-008
1515.550000,-3.2650E-009,1515.550000,-3.2650E-009,1515.550000,-3.2650E-009
1515.600000,3.3620E-008,1515.600000,3.3620E-008,1515.600000,3.3620E-008
1515.650000,7.0960E-009,1515.650000,7.0960E-009,1515.650000,7.0960E-009
1515.700000,1.7460E-008,1515.700000,1.7460E-008,1515.700000,1.7460E-008
1515.750000,2.6900E-009,1515.750000,2.6900E-009,1515.750000,2.6900E-009
1515.800000,3.3200E-008,1515.800000,3.3200E-008,1515.800000,3.3200E-008
1515.850000,3.5640E-008,1515.850000,3.5640E-008,1515.850000,3.5640E-008
1515.900000,3.5070E-008,1515.900000,3.5070E-008,1515.900000,3.5070E-008
1515.950000,4.2000E-008,1515.950000,4.2000E-008,1515.950000,4.2000E-008
1516.000000,7.4380E-009,1516.000000,7.4380E-009,1516.000000,7.4380E-009
1516.050000,-3.3380E-008,1516.050000,-3.3380E-008,1516.050000,-3.3380E-008
1516.100000,1.7160E-008,1516.100000,1.7160E-008,1516.100000,1.7160E-008
1516.150000,3.0440E-008,1516.150000,3.0440E-008,1516.150000,3.0440E-008
1516.200000,3.9580E-008,1516.200000,3.9580E-008,1516.200000,3.9580E-008
1516.250000,3.6670E-008,1516.250000,3.6670E-008,1516.250000,3.6670E-008
1516.300000,1.5000E-008,1516.300000,1.5000E-008,1516.300000,1.5000E-008
1516.350000,4.8560E-008,1516.350000,4.8560E-008,1516.350000,4.8560E-008
1516.400000,-1.4120E-010,1516.400000,-1.4120E-010,1516.400000,-1.4120E-010
1516.450000,8.8990E-008,1516.450000,8.8990E-008,1516.450000,8.8990E-008
1516.500000,1.4810E-008,1516.500000,1.4810E-008,1516.500000,1.4810E-008
1516.550000,1.9000E-008,1516.550000,1.9000E-008,1516.550000,1.9000E-008
1516.600000,-2.5750E-009,1516.600000,-2.5750E-009,1516.600000,-2.5750E-009
1516.650000,5.1700E-008,1516.650000,5.1700E-008,1516.650000,5.1700E-008
1516.700000,3.7590E-008,1516.700000,3.7590E-008,1516.700000,3.7590E-008
1516.750000,6.1450E-008,1516.750000,6.1450E-008,1516.750000,6.1450E-008
1516.800000,-1.7360E-008,1516.800000,-1.7360E-008,1516.800000,-1.7360E-008
1516.850000,1.6560E-008,1516.850000,1.6560E-008,1516.850000,1.6560E-008
1516.900000,-4.0710E-008,1516.900000,-4.0710E-008,1516.900000,-4.0710E-008
1516.950000,2.5540E-008,1516.950000,2.5540E-008,1516.950000,2.5540E-008
1517.000000,6.0840E-008,1517.000000,6.0840E-008,1517.000000,6.0840E-008
1517.050000,-2.6820E-008,1517.050000,-2.6820E-008,1517.050000,-2.6820E-008
1517.100000,6.4130E-008,1517.100000,6.4130E-008,1517.100000,6.4130E-008
1517.150000,-1.7040E-008,1517.150000,-1.7040E-008,1517.150000,-1.7040E-008
1517.200000,3.7710E-008,1517.200000,3.7710E-008,1517.200000,3.7710E-008
1517.250000,6.0080E-008,1517.250000,6.0080E-008,1517.250000,6.0080E-008
1517.300000,4.2800E-008,1517.300000,4.2800E-008,1517.300000,4.2800E-008
1517.350000,2.4890E-008,1517.350000,2.4890E-008,1517.350000,2.4890E-008
1517.400000,-2.4350E-008,1517.400000,-2.4350E-008,1517.400000,-2.4350E-008
1517.450000,3.5660E-008,1517.450000,3.5660E-008,1517.450000,3.5660E-008
1517.500000,5.3580E-008,1517.500000,5.3580E-008,1517.500000,5.3580E-008
1517.550000,6.4280E-008,1517.550000,6.4280E-008,1517.550000,6.4280E-008
1517.600000,3.7750E-009,1517.600000,3.7750E-009,1517.600000,3.7750E-009
1517.650000,3.0850E-008,1517.650000,3.0850E-008,1517.650000,3.0850E-008
1517.700000,4.8660E-008,1517.700000,4.8660E-008,1517.700000,4.8660E-008
1517.750000,-1.9800E-009,1517.750000,-1.9800E-009,1517.750000,-1.9800E-009
1517.800000,2.3550E-008,1517.800000,2.3550E-008,1517.800000,2.3550E-008
1517.850000,3.2350E-008,1517.850000,3.2350E-008,1517.850000,3.2350E-008
1517.900000,4.4750E-009,1517.900000,4.4750E-009,1517.900000,4.4750E-009
1517.950000,2.3200E-008,1517.950000,2.3200E-008,1517.950000,2.3200E-008
1518.000000,5.2140E-008,1518.000000,5.2140E-008,1518.000000,5.2140E-008
1518.050000,2.8640E-008,1518.050000,2.8640E-008,1518.050000,2.8640E-008
1518.100000,3.0940E-008,1518.100000,3.0940E-008,1518.100000,3.0940E-008
1518.150000,3.9850E-008,1518.150000,3.9850E-008,1518.150000,3.9850E-008
1518.200000,9.1160E-009,1518.200000,9.1160E-009,1518.200000,9.1160E-009
1518.250000,-1.3960E-008,1518.250000,-1.3960E-008,1518.250000,-1.3960E-008
1518.300000,3.8710E-008,1518.300000,3.8710E-008,1518.300000,3.8710E-008
1518.350000,2.7750E-008,1518.350000,2.7750E-008,1518.350000,2.7750E-008
1518.400000,4.7270E-008,1518.400000,4.7270E-008,1518.400000,4.7270E-008
1518.450000,1.7250E-008,1518.450000,1.7250E-008,1518.450000,1.7250E-008
1518.500000,5.2440E-008,1518.500000,5.2440E-008,1518.500000,5.2440E-008
1518.550000,2.8160E-008,1518.550000,2.8160E-008,1518.550000,2.8160E-008
1518.600000,-6.4040E-009,1518.600000,-6.4040E-009,1518.600000,-6.4040E-009
1518.650000,-1.5070E-008,1518.650000,-1.5070E-008,1518.650000,-1.5070E-008
1518.700000,1.9270E-008,1518.700000,1.9270E-008,1518.700000,1.9270E-008
1518.750000,2.9020E-008,1518.750000,2.9020E-008,1518.750000,2.9020E-008
1518.800000,6.5900E-008,1518.800000,6.5900E-008,1518.800000,6.5900E-008
1518.850000,3.9750E-009,1518.850000,3.9750E-009,1518.850000,3.9750E-009
1518.900000,3.9380E-008,1518.900000,3.9380E-008,1518.900000,3.9380E-008
1518.950000,5.4220E-008,1518.950000,5.4220E-008,1518.950000,5.4220E-008
1519.000000,-1.0840E-008,1519.000000,-1.0840E-008,1519.000000,-1.0840E-008
1519.050000,6.8390E-008,1519.050000,6.8390E-008,1519.050000,6.8390E-008
1519.100000,7.3160E-008,1519.100000,7.3160E-008,1519.100000,7.3160E-008
1519.150000,4.0090E-008,1519.150000,4.0090E-008,1519.150000,4.0090E-008
1519.200000,2.7930E-008,1519.200000,2.7930E-008,1519.200000,2.7930E-008
1519.250000,9.2160E-008,1519.250000,9.2160E-008,1519.250000,9.2160E-008
1519.300000,-1.1140E-008,1519.300000,-1.1140E-008,1519.300000,-1.1140E-008
1519.350000,1.7360E-008,1519.350000,1.7360E-008,1519.350000,1.7360E-008
1519.400000,7.0020E-009,1519.400000,7.0020E-009,1519.400000,7.0020E-009
1519.450000,8.1240E-009,1519.450000,8.1240E-009,1519.450000,8.1240E-009
1519.500000,5.9710E-008,1519.500000,5.9710E-008,1519.500000,5.9710E-008
1519.550000,9.5650E-008,1519.550000,9.5650E-008,1519.550000,9.5650E-008
1519.600000,3.4460E-008,1519.600000,3.4460E-008,1519.600000,3.4460E-008
1519.650000,7.5220E-008,1519.650000,7.5220E-008,1519.650000,7.5220E-008
1519.700000,5.1920E-008,1519.700000,5.1920E-008,1519.700000,5.1920E-008
1519.750000,4.2720E-008,1519.750000,4.2720E-008,1519.750000,4.2720E-008
1519.800000,6.8540E-008,1519.800000,6.8540E-008,1519.800000,6.8540E-008
1519.850000,3.9690E-008,1519.850000,3.9690E-008,1519.850000,3.9690E-008
1519.900000,5.9870E-008,1519.900000,5.9870E-008,1519.900000,5.9870E-008
1519.950000,6.5190E-008,1519.950000,6.5190E-008,1519.950000,6.5190E-008
1520.000000,7.4810E-008,1520.000000,7.4810E-008,1520.000000,7.4810E-008
1520.050000,-2.1820E-008,1520.050000,-2.1820E-008,1520.050000,-2.1820E-008
1520.100000,4.9780E-008,1520.100000,4.9780E-008,1520.100000,4.9780E-008
1520.150000,4.6740E-008,1520.150000,4.6740E-008,1520.150000,4.6740E-008
1520.200000,7.8680E-008,1520.200000,7.8680E-008,1520.200000,7.8680E-008
1520.250000,3.6650E-008,1520.250000,3.6650E-008,1520.250000,3.6650E-008
1520.300000,3.7230E-008,1520.300000,3.7230E-008,1520.300000,3.7230E-008
1520.350000,5.5990E-008,1520.350000,5.5990E-008,1520.350000,5.5990E-008
1520.400000,5.1210E-008,1520.400000,5.1210E-008,1520.400000,5.1210E-008
1520.450000,4.8390E-008,1520.450000,4.8390E-008,1520.450000,4.8390E-008
1520.500000,8.2460E-008,1520.500000,8.2460E-008,1520.500000,8.2460E-008
1520.550000,2.4860E-008,1520.550000,2.4860E-008,1520.550000,2.4860E-008
1520.600000,8.4940E-008,1520.600000,8.4940E-008,1520.600000,8.4940E-008
1520.650000,3.8040E-008,1520.650000,3.8040E-008,1520.650000,3.8040E-008
1520.700000,1.1620E-007,1520.700000,1.1620E-007,1520.700000,1.1620E-007
1520.750000,5.2540E-008,1520.750000,5.2540E-008,1520.750000,5.2540E-008
1520.800000,4.2560E-008,1520.800000,4.2560E-008,1520.800000,4.2560E-008
1520.850000,5.5820E-008,1520.850000,5.5820E-008,1520.850000,5.5820E-008
1520.900000,1.0350E-007,1520.900000,1.0350E-007,1520.900000,1.0350E-007
1520.950000,2.0740E-008,1520.950000,2.0740E-008,1520.950000,2.0740E-008
1521.000000,7.1950E-008,1521.000000,7.1950E-008,1521.000000,7.1950E-008
1521.050000,8.4120E-008,1521.050000,8.4120E-008,1521.050000,8.4120E-008
1521.100000,7.5230E-008,1521.100000,7.5230E-008,1521.100000,7.5230E-008
1521.150000,5.6950E-008,1521.150000,5.6950E-008,1521.150000,5.6950E-008
1521.200000,8.0360E-008,1521.200000,8.0360E-008,1521.200000,8.0360E-008
1521.250000,5.4290E-008,1521.250000,5.4290E-008,1521.250000,5.4290E-008
1521.300000,5.5870E-008,1521.300000,5.5870E-008,1521.300000,5.5870E-008
1521.350000,1.1800E-007,1521.350000,1.1800E-007,1521.350000,1.1800E-007
1521.400000,1.1980E-010,1521.400000,1.1980E-010,1521.400000,1.1980E-010
1521.450000,7.1860E-008,1521.450000,7.1860E-008,1521.450000,7.1860E-008
