File,WaveData20230303_006.csv,
Date/Time,23-03-03/19:52,

Trace,A
Center Wavelength,1556.95,nm
Span Wavelength,100,nm
Start Wavelength,1506.95,nm
Stop Wavelength,1606.95,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1506.95,nm
Stop,1606.95,nm
Trace,B
Center Wavelength,1471.1,nm
Span Wavelength,556.8,nm
Start Wavelength,1192.7,nm
Stop Wavelength,1749.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.099,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Max Hold,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Trace,C
Center Wavelength,1471.1,nm
Span Wavelength,556.8,nm
Start Wavelength,1192.7,nm
Stop Wavelength,1749.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.099,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Trace,D
Center Wavelength,1556.95,nm
Span Wavelength,100,nm
Start Wavelength,1506.95,nm
Stop Wavelength,1606.95,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1506.95,nm
Stop,1606.95,nm
Trace,E
Center Wavelength,1556.95,nm
Span Wavelength,100,nm
Start Wavelength,1506.95,nm
Stop Wavelength,1606.95,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1506.95,nm
Stop,1606.95,nm

Wavelength(A),Level(A),Wavelength(D),Level(D),Wavelength(E),Level(E)
1506.950000,2.5070E-008,1506.950000,2.5070E-008,1506.950000,2.5070E-008
1507.000000,1.2990E-008,1507.000000,1.2990E-008,1507.000000,1.2990E-008
1507.050000,-2.0030E-009,1507.050000,-2.0030E-009,1507.050000,-2.0030E-009
1507.100000,2.4630E-008,1507.100000,2.4630E-008,1507.100000,2.4630E-008
1507.150000,-4.7020E-008,1507.150000,-4.7020E-008,1507.150000,-4.7020E-008
1507.200000,8.2820E-008,1507.200000,8.2820E-008,1507.200000,8.2820E-008
1507.250000,-1.6880E-008,1507.250000,-1.6880E-008,1507.250000,-1.6880E-008
1507.300000,1.7370E-008,1507.300000,1.7370E-008,1507.300000,1.7370E-008
1507.350000,2.8200E-008,1507.350000,2.8200E-008,1507.350000,2.8200E-008
1507.400000,1.4140E-009,1507.400000,1.4140E-009,1507.400000,1.4140E-009
1507.450000,-7.6130E-010,1507.450000,-7.6130E-010,1507.450000,-7.6130E-010
1507.500000,-4.4070E-008,1507.500000,-4.4070E-008,1507.500000,-4.4070E-008
1507.550000,1.2060E-008,1507.550000,1.2060E-008,1507.550000,1.2060E-008
1507.600000,6.1130E-008,1507.600000,6.1130E-008,1507.600000,6.1130E-008
1507.650000,4.5610E-008,1507.650000,4.5610E-008,1507.650000,4.5610E-008
1507.700000,-1.6260E-008,1507.700000,-1.6260E-008,1507.700000,-1.6260E-008
1507.750000,-3.3680E-009,1507.750000,-3.3680E-009,1507.750000,-3.3680E-009
1507.800000,-3.6830E-008,1507.800000,-3.6830E-008,1507.800000,-3.6830E-008
1507.850000,6.6760E-008,1507.850000,6.6760E-008,1507.850000,6.6760E-008
1507.900000,-2.4200E-008,1507.900000,-2.4200E-008,1507.900000,-2.4200E-008
1507.950000,-1.3400E-009,1507.950000,-1.3400E-009,1507.950000,-1.3400E-009
1508.000000,1.6630E-008,1508.000000,1.6630E-008,1508.000000,1.6630E-008
1508.050000,3.7640E-008,1508.050000,3.7640E-008,1508.050000,3.7640E-008
1508.100000,4.0170E-008,1508.100000,4.0170E-008,1508.100000,4.0170E-008
1508.150000,1.2780E-008,1508.150000,1.2780E-008,1508.150000,1.2780E-008
1508.200000,-4.4130E-008,1508.200000,-4.4130E-008,1508.200000,-4.4130E-008
1508.250000,-3.5170E-008,1508.250000,-3.5170E-008,1508.250000,-3.5170E-008
1508.300000,-1.6400E-008,1508.300000,-1.6400E-008,1508.300000,-1.6400E-008
1508.350000,1.4000E-008,1508.350000,1.4000E-008,1508.350000,1.4000E-008
1508.400000,1.2400E-008,1508.400000,1.2400E-008,1508.400000,1.2400E-008
1508.450000,5.1240E-008,1508.450000,5.1240E-008,1508.450000,5.1240E-008
1508.500000,5.8950E-009,1508.500000,5.8950E-009,1508.500000,5.8950E-009
1508.550000,-2.9010E-008,1508.550000,-2.9010E-008,1508.550000,-2.9010E-008
1508.600000,2.9720E-008,1508.600000,2.9720E-008,1508.600000,2.9720E-008
1508.650000,2.3400E-008,1508.650000,2.3400E-008,1508.650000,2.3400E-008
1508.700000,3.3130E-008,1508.700000,3.3130E-008,1508.700000,3.3130E-008
1508.750000,6.2810E-008,1508.750000,6.2810E-008,1508.750000,6.2810E-008
1508.800000,-1.6900E-008,1508.800000,-1.6900E-008,1508.800000,-1.6900E-008
1508.850000,5.5320E-008,1508.850000,5.5320E-008,1508.850000,5.5320E-008
1508.900000,1.2530E-008,1508.900000,1.2530E-008,1508.900000,1.2530E-008
1508.950000,6.6170E-008,1508.950000,6.6170E-008,1508.950000,6.6170E-008
1509.000000,3.4380E-010,1509.000000,3.4380E-010,1509.000000,3.4380E-010
1509.050000,-1.4160E-008,1509.050000,-1.4160E-008,1509.050000,-1.4160E-008
1509.100000,5.9280E-008,1509.100000,5.9280E-008,1509.100000,5.9280E-008
1509.150000,-2.3060E-008,1509.150000,-2.3060E-008,1509.150000,-2.3060E-008
1509.200000,8.9110E-009,1509.200000,8.9110E-009,1509.200000,8.9110E-009
1509.250000,4.4930E-009,1509.250000,4.4930E-009,1509.250000,4.4930E-009
1509.300000,2.0720E-008,1509.300000,2.0720E-008,1509.300000,2.0720E-008
1509.350000,2.5560E-008,1509.350000,2.5560E-008,1509.350000,2.5560E-008
1509.400000,1.9990E-009,1509.400000,1.9990E-009,1509.400000,1.9990E-009
