Theta1,Theta2,Theta3,Ancho_espectral,Potencia,Clases
0,0,90,11.76868966804097,0.013178,1
4,0,90,12.13126804035544,0.013162,1
8,0,90,12.49384641266993,0.0131535,1
12,0,90,12.08594574381614,0.01315375,1
16,0,90,12.23702006561384,0.013161,1
20,0,90,12.41075553568119,0.01319725,1
24,0,90,11.81401196458026,0.0132335,1
28,0,90,11.43632616008603,0.0132825,1
32,0,90,10.95288833033337,0.01334425,1
36,0,90,10.3334836109628,0.01341675,1
40,0,90,9.766954904221429,0.013467,1
44,0,90,9.13244275267106,0.01351525,0
48,0,90,8.565914045929686,0.013549,0
52,0,90,8.210889389705086,0.01357225,0
56,0,90,7.946509326559104,0.013589,0
60,0,90,8.173120809255673,0.0135665,0
64,0,90,8.633897490738647,0.013557,0
68,0,90,8.361963711502803,0.01351225,0
72,0,90,8.973814714783481,0.0134865,0
76,0,90,9.147550184850845,0.013432,0
80,0,90,9.933136658198896,0.013379,1
84,0,90,10.28060759833361,0.01333675,1
88,0,90,10.84713630507498,0.01332425,1
92,0,90,10.66584711891776,0.0133125,1
96,0,90,10.7413842798166,0.0133005,1
100,0,90,10.85469002116487,0.01328475,1
104,0,90,10.73383056372672,0.01330175,1
108,0,90,10.52988022929981,0.01332375,1
112,0,90,10.13708699262578,0.01334475,1
116,0,90,10.12197956044601,0.0133195,1
120,0,90,10.12197956044601,0.013344,1
124,0,90,10.14464070871567,0.013341,1
128,0,90,9.948244090378653,0.01334425,0
132,0,90,10.00112010300786,0.01332975,0
136,0,90,10.12197956044603,0.0133315,0
140,0,90,10.46189678449085,0.01326775,1
144,0,90,10.68095455109751,0.01325925,1
148,0,90,10.90756603379407,0.01322275,1
152,0,90,11.35323528309729,0.013163,1
156,0,90,11.8517805450297,0.01313225,1
160,0,90,12.32011094260258,0.013087,1
164,0,90,12.97728424242258,0.013077,1
168,0,90,13.24921802165843,0.0130385,1
172,0,90,13.37763119518649,0.01302625,1
176,0,90,13.74776328359086,0.0130385,1
180,0,90,13.30209403428764,0.01305575,1
184,0,90,13.18878829293936,0.013111,1
188,0,90,12.56182985747889,0.01321775,1
192,0,90,11.34568156700741,0.01333625,0
196,0,90,10.09176469608646,0.0134925,0
200,0,90,7.969170474828762,0.01363,0
204,0,90,6.042972871908067,0.013737,0
208,0,90,5.257386398560027,0.01371475,0
212,0,90,6.314906651143925,0.013654,0
0,4,90,11.55718561752418,0.01325025,1
4,4,90,11.39855757963659,0.01331275,1
8,4,90,10.95288833033337,0.01336625,1
12,4,90,10.46189678449085,0.01340475,1
16,4,90,9.827384632940497,0.0134825,1
20,4,90,8.943599850423931,0.01354175,0
24,4,90,8.074922500087164,0.013605,0
28,4,90,7.153369137121187,0.013679,0
32,4,90,5.959881994919338,0.0137165,0
36,4,90,5.37069213990829,0.01373775,0
40,4,90,5.295154979009439,0.01371775,0
44,4,90,5.438675584717251,0.0137165,0
48,4,90,5.763485376582318,0.0136945,0
52,4,90,5.922113414469912,0.01366275,0
56,4,90,6.110956316717043,0.01364325,0
60,4,90,6.156278613256345,0.01364025,0
64,4,90,6.065634020177725,0.01365575,0
68,4,90,6.073187736267602,0.01367175,0
72,4,90,6.005204291458641,0.013679,0
76,4,90,5.846576253571061,0.0136515,0
80,4,90,5.597303622604846,0.01371325,0
84,4,90,5.453783016897034,0.0137335,0
88,4,90,5.483997881256583,0.0137165,0
92,4,90,5.808807673121635,0.01368725,0
96,4,90,6.390443812042792,0.013634,0
100,4,90,7.493286361166007,0.01357075,0
104,4,90,8.263765402334293,0.013511,0
108,4,90,8.482823168940945,0.01347,0
112,4,90,9.10222788831154,0.01343,0
116,4,90,9.34394680318785,0.01340475,0
120,4,90,9.570558285884406,0.0133835,0
124,4,90,10.50721908103015,0.0133605,1
128,4,90,12.2521274977936,0.01331575,1
132,4,90,10.74138427981658,0.01330475,1
136,4,90,10.50721908103016,0.0132895,1
140,4,90,10.77915286026601,0.01327525,1
144,4,90,10.91511974988394,0.01326975,1
148,4,90,10.98310319469292,0.0132525,1
152,4,90,11.17194609694004,0.0132445,1
156,4,90,11.52697075316464,0.01321775,1
160,4,90,11.70825993932189,0.01321675,1
164,4,90,11.89710284156902,0.013227,1
168,4,90,11.80645824849038,0.013218,1
172,4,90,11.57984676579384,0.01326925,1
176,4,90,11.08130150386143,0.0132935,1
180,4,90,10.74138427981658,0.013352,0
184,4,90,10.21262415352463,0.01343525,0
188,4,90,8.981368430873358,0.01355275,0
192,4,90,7.659468115143478,0.01365125,0
196,4,90,6.178939761526003,0.013716,0
200,4,90,5.295154979009453,0.01372075,0
204,4,90,5.771039092672194,0.01364675,0
208,4,90,6.511303269480946,0.0136075,0
212,4,90,5.476444165166692,0.01364775,0
0,8,90,6.246923206334964,0.013702,0
4,8,90,5.612411054784614,0.0137415,0
8,8,90,5.295154979009439,0.013738,0
12,8,90,5.264940114649904,0.01372425,0
16,8,90,5.544427609975653,0.01370575,0
20,8,90,6.171386045436113,0.013649,0
24,8,90,6.390443812042792,0.013602,0
28,8,90,6.337567799413584,0.01363,0
32,8,90,5.982543143188983,0.01368275,0
36,8,90,5.567088758245311,0.0137175,0
40,8,90,5.461336732986911,0.013722,0
44,8,90,5.831468821391293,0.0137225,0
48,8,90,6.163832329346236,0.013717,0
52,8,90,6.496195837301179,0.013701,0
56,8,90,7.130707988851515,0.0136845,0
60,8,90,7.115600556671747,0.0136725,0
64,8,90,7.493286361166007,0.01367975,0
68,8,90,7.108046840581871,0.01370075,0
72,8,90,6.692592455638185,0.01374075,0
76,8,90,6.194047193705771,0.01374625,0
80,8,90,5.551981326065544,0.0137765,0
84,8,90,5.423568152537484,0.013734,0
88,8,90,5.680394499593575,0.013707,0
92,8,90,5.990096859278873,0.0136795,0
96,8,90,6.103402600627166,0.01365325,0
100,8,90,5.831468821391279,0.013683,0
104,8,90,5.536873893885762,0.0137005,0
108,8,90,5.49155159734646,0.0137089999999999,0
112,8,90,5.619964770874505,0.0136905,0
116,8,90,5.778592808762085,0.01367025,0
120,8,90,6.231815774155197,0.01364025,0
124,8,90,6.66993130736854,0.013626,0
128,8,90,7.077831976222321,0.0136015,0
132,8,90,7.153369137121173,0.01358725,0
136,8,90,7.523501225525542,0.013567,0
140,8,90,7.886079597840034,0.0135615,0
144,8,90,7.931401894379336,0.01354575,0
148,8,90,7.840757301300717,0.0135645,0
152,8,90,7.765220140401879,0.01358925,0
156,8,90,7.629253250783943,0.0135979999999999,0
160,8,90,7.561269805974968,0.01361975,0
164,8,90,7.017402247503236,0.0136555,0
168,8,90,6.216708341975429,0.01369125,0
172,8,90,5.68794821568348,0.0137175,0
176,8,90,5.31026241118922,0.013732,0
180,8,90,5.227171534200478,0.01371825,0
184,8,90,5.574642474335188,0.013661,0
188,8,90,5.997650575368764,0.01362375,0
192,8,90,6.299799218964172,0.0135979999999999,0
196,8,90,5.990096859278873,0.01365475,0
200,8,90,5.544427609975653,0.013682,0
204,8,90,6.095848884537275,0.0136445,0
208,8,90,7.938955610469227,0.01351225,0
212,8,90,10.25039273397407,0.013385,0
0,12,90,5.718163080043015,0.0136995,0
4,12,90,5.514212745616118,0.0137157499999999,0
8,12,90,5.393353288177949,0.0137437499999999,0
12,12,90,5.446229300807143,0.013747,0
16,12,90,5.801253957031744,0.0137225,0
20,12,90,6.783237048716819,0.01364225,0
24,12,90,7.878525881750157,0.0135915,0
28,12,90,8.837847825165559,0.01350675,0
32,12,90,9.321285654918192,0.013401,0
36,12,90,10.56009509365936,0.013324,1
40,12,90,11.12662380040073,0.01321925,1
44,12,90,11.80645824849038,0.01314975,1
48,12,90,12.38809438741154,0.013089,1
52,12,90,12.7657801919058,0.0130245,1
56,12,90,13.1661271446697,0.012985,1
60,12,90,13.21144944120902,0.0129665,1
64,12,90,13.40029234345615,0.012941,1
68,12,90,13.43050720781569,0.01296575,1
72,12,90,13.25677173774832,0.01299975,1
76,12,90,12.99239167460236,0.01306925,1
80,12,90,12.33521837478235,0.0131655,1
84,12,90,11.67804507496234,0.01328525,1
88,12,90,10.65073968673798,0.0134105,1
92,12,90,9.676310311142808,0.0135345,0
96,12,90,8.490376885030834,0.0136335,0
100,12,90,7.515947509435651,0.01371325,0
104,12,90,6.397997528132668,0.01376025,0
108,12,90,5.755931660492442,0.01376925,0
112,12,90,5.499105313436336,0.013757,0
116,12,90,5.567088758245311,0.01372825,0
120,12,90,5.710609363953124,0.0137125,0
124,12,90,5.793700240941867,0.013688,0
128,12,90,5.974989427099106,0.01367375,0
132,12,90,6.005204291458655,0.013665,0
136,12,90,6.027865439728299,0.01365775,0
140,12,90,6.020311723638408,0.01365125,0
144,12,90,6.088295168447369,0.013667,0
148,12,90,6.080741452357508,0.01362175,0
152,12,90,11.08130150386142,0.013545,0
156,12,90,6.065634020177725,0.01363675,0
160,12,90,6.22426205806532,0.013625,0
164,12,90,6.163832329346222,0.0136315,0
168,12,90,5.952328278829447,0.01367775,0
172,12,90,5.559535042155421,0.0137095,0
176,12,90,5.393353288177949,0.0137212499999999,0
180,12,90,5.521766461705995,0.0137157499999999,0
184,12,90,5.876791117930596,0.01367725,0
188,12,90,7.402641768087402,0.01355825,0
192,12,90,8.52814546548026,0.013488,0
196,12,90,9.487467408895665,0.01338,0
200,12,90,10.51477279712005,0.013277,0
204,12,90,12.08594574381614,0.013125,1
208,12,90,12.31255722651269,0.0129955,1
212,12,90,13.92149875365821,0.01288425,1
0,16,90,9.933136658198896,0.01343525,1
4,16,90,10.23528530179429,0.01337525,1
8,16,90,10.9377808981536,0.01329575,1
12,16,90,11.2928055543782,0.0132162499999999,1
16,16,90,12.13882175644533,0.01309475,1
20,16,90,12.56938357356879,0.01303525,1
24,16,90,13.31720146646741,0.0129365,1
28,16,90,13.43806092390558,0.012858,1
32,16,90,14.23120111334351,0.012781,1
36,16,90,14.36716800296143,0.01272125,1
40,16,90,14.97146529015225,0.012659,1
44,16,90,15.20563048893869,0.0126415,1
48,16,90,15.34159737855661,0.0126005,1
52,16,90,15.50777913253409,0.0126115,1
56,16,90,15.50777913253409,0.01258025,1
60,16,90,15.53044028080373,0.01259875,1
64,16,90,15.8023740600396,0.0125815,1
68,16,90,15.70417575087109,0.0125885,1
72,16,90,15.74194433132052,0.0125945,1
76,16,90,15.52288656471385,0.0126734999999999,1
80,16,90,15.05455616714098,0.01267275,1
84,16,90,14.72219265918603,0.01275475,1
88,16,90,14.24630854552328,0.0128375,1
92,16,90,13.74776328359086,0.01294825,1
96,16,90,12.55427614138901,0.0131145,1
100,16,90,12.16148290471499,0.0132245,1
104,16,90,10.83202887289522,0.0133765,0
108,16,90,9.963351522558431,0.013498,0
112,16,90,9.019137011322798,0.0135815,0
116,16,90,8.090029932266917,0.0136394999999999,0
120,16,90,7.531054941615433,0.01367575,0
124,16,90,7.183584001480722,0.013691,0
128,16,90,6.790790764806696,0.01373275,0
132,16,90,6.609501578649456,0.01373725,0
136,16,90,6.277138070694499,0.01374325,0
140,16,90,6.163832329346236,0.01372775,0
144,16,90,6.390443812042792,0.013705,0
148,16,90,6.579286714289921,0.01371825,0
152,16,90,7.561269805974968,0.013668,0
156,16,90,7.108046840581871,0.01364575,0
160,16,90,8.286426550603938,0.013606,0
164,16,90,8.664112355098197,0.01351075,0
168,16,90,9.08712045613176,0.0134589999999999,0
172,16,90,10.13708699262578,0.0133825,0
176,16,90,10.7413842798166,0.0132795,0
180,16,90,11.51941703707474,0.0132065,1
184,16,90,11.36078899918718,0.0131345,1
188,16,90,12.45607783222052,0.0130045,1
192,16,90,13.04526768723155,0.0129345,1
196,16,90,13.67222612269201,0.01282075,1
200,16,90,14.14811023635477,0.01273325,1
204,16,90,14.7373000913658,0.01264975,1
208,16,90,15.19807677284879,0.0126179999999999,1
212,16,90,15.73439061523064,0.01257325,1
0,20,90,14.80528353617476,0.01272725,1
4,20,90,15.00168015451178,0.0126995,1
8,20,90,15.16786190848927,0.012678,1
12,20,90,15.28116764983753,0.0126365,1
16,20,90,15.34159737855661,0.01260725,1
20,20,90,15.72683689914075,0.0125709999999999,1
24,20,90,15.87791122093845,0.012558,1
28,20,90,15.92323351747777,0.012555,1
32,20,90,16.05164669100582,0.0125405,1
36,20,90,16.05920040709571,0.012526,1
40,20,90,16.04409297491593,0.012533,1
44,20,90,16.07430783927546,0.01253025,1
48,20,90,15.93834094965754,0.0125475,1
52,20,90,15.93834094965754,0.0125405,1
56,20,90,15.8023740600396,0.01258275,1
60,20,90,15.82503520830925,0.0125605,1
64,20,90,15.71172946696098,0.01254875,1
68,20,90,15.73439061523063,0.01255225,1
72,20,90,15.68906831869132,0.012555,1
76,20,90,15.76460547959018,0.0125565,1
80,20,90,15.86280378875869,0.012546,1
84,20,90,15.92323351747777,0.012554,1
88,20,90,15.89301865311822,0.012559,1
92,20,90,15.80992777612949,0.0125715,1
96,20,90,15.56065514516326,0.012628,1
100,20,90,15.32648994637683,0.0126955,1
104,20,90,14.92614299361293,0.01277575,1
108,20,90,14.51068860866924,0.0128365,1
112,20,90,13.67222612269201,0.01295475,1
116,20,90,13.09814369986074,0.0130429999999999,1
120,20,90,12.50895384484971,0.01308775,1
124,20,90,12.18414405298464,0.013133,1
128,20,90,12.00285486682741,0.0131665,1
132,20,90,11.61006163015338,0.01320025,1
136,20,90,11.77624338413086,0.0131875,1
140,20,90,11.70825993932189,0.01318475,1
144,20,90,11.77624338413085,0.01315125,1
148,20,90,12.50140012875982,0.01309175,1
152,20,90,12.87908593325408,0.01302975,1
156,20,90,12.72045789536648,0.013008,1
160,20,90,13.64201125833246,0.012911,1
164,20,90,13.75531699968075,0.01283075,1
168,20,90,14.30673827424236,0.0127895,1
172,20,90,14.20853996507385,0.0127545,1
176,20,90,14.66931664655684,0.0126995,1
180,20,90,14.88082069707362,0.01265325,1
184,20,90,15.2433990693881,0.01262725,1
188,20,90,15.52288656471385,0.0125775,1
192,20,90,15.43979568772511,0.01256825,1
196,20,90,15.8023740600396,0.01255125,1
200,20,90,15.94589466574743,0.012526,1
204,20,90,15.81748149221938,0.0125585,1
208,20,90,16.04409297491594,0.01253275,1
212,20,90,15.97610953010696,0.0125525,1
0,24,90,15.9610020979272,0.012564,1
4,24,90,15.94589466574743,0.0125385,1
8,24,90,15.95344838183731,0.01254,1
12,24,90,15.96100209792718,0.01252575,1
16,24,90,15.88546493702833,0.01253575,1
20,24,90,15.8552500726688,0.0125415,1
24,24,90,15.82503520830926,0.01256875,1
28,24,90,15.33404366246672,0.0126315,1
32,24,90,15.50777913253407,0.0125575,1
36,24,90,15.63619230606213,0.01259825,1
40,24,90,15.56820886125317,0.012589,1
44,24,90,15.36425852682626,0.012588,1
48,24,90,15.2433990693881,0.01261225,1
52,24,90,15.11498589586007,0.0126295,1
56,24,90,14.91858927752305,0.0126515,1
60,24,90,14.60133320174786,0.01266725,1
64,24,90,14.86571326489384,0.0126495,1
68,24,90,14.51068860866926,0.012659,1
72,24,90,14.77506867181524,0.01265125,1
76,24,90,14.87326698098373,0.012647,1
80,24,90,14.73730009136581,0.0126319999999999,1
84,24,90,15.22829163720835,0.01261075,1
88,24,90,15.39447339118579,0.0125785,1
92,24,90,15.55310142907339,0.0126665,1
96,24,90,15.72683689914075,0.01255725,1
100,24,90,15.64374602215201,0.01258075,1
104,24,90,15.64374602215202,0.01260475,1
108,24,90,15.37936595900604,0.01263825,1
112,24,90,15.10743217977017,0.01268025,1
116,24,90,14.94880414188259,0.01272375,1
120,24,90,14.85815954880397,0.012734,1
124,24,90,14.66176293046695,0.01277575,1
128,24,90,14.17077138462442,0.01279525,1
132,24,90,14.45781259604006,0.01276325,1
136,24,90,14.29918455815248,0.01278575,1
140,24,90,14.75996123963546,0.01275775,1
144,24,90,14.92614299361293,0.012698,1
148,24,90,15.14520076021961,0.01266975,1
152,24,90,15.03944873496121,0.0126425,1
156,24,90,15.5002254164442,0.01259025,1
160,24,90,15.53799399689362,0.012579,1
164,24,90,15.80992777612948,0.01257225,1
168,24,90,15.71172946696098,0.012548,1
172,24,90,15.94589466574742,0.0125335,1
176,24,90,16.01387811055639,0.0125285,1
180,24,90,16.04409297491593,0.01259675,1
184,24,90,15.95344838183731,0.012541,1
188,24,90,16.03653925882605,0.0125315,1
192,24,90,15.97610953010695,0.012552,1
196,24,90,16.01387811055638,0.0125165,1
200,24,90,15.93834094965754,0.0125222499999999,1
204,24,90,15.93078723356765,0.012533,1
208,24,90,15.78726662785983,0.01254775,1
212,24,90,15.40202710727568,0.01258575,1
0,28,90,15.25850650156787,0.012603,1
4,28,90,15.42468825554534,0.01257325,1
8,28,90,15.19052305675891,0.0125995,1
12,28,90,15.01678758669156,0.01263125,1
16,28,90,14.94880414188259,0.01265325,1
20,28,90,14.95635785797248,0.01262025,1
24,28,90,14.86571326489386,0.01265575,1
