File,WaveData20230210_050.csv,
Date/Time,23-02-10/21:57,

Trace,A
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm
Trace,B
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.700000,8.3120E-007,1250.700000,8.3120E-007
1250.949900,7.8880E-007,1250.949900,7.8880E-007
1251.199800,8.0040E-007,1251.199800,8.0040E-007
1251.449700,8.2110E-007,1251.449700,8.2110E-007
1251.699600,8.4010E-007,1251.699600,8.4010E-007
1251.949500,7.9830E-007,1251.949500,7.9830E-007
1252.199400,7.7250E-007,1252.199400,7.7250E-007
1252.449300,7.9520E-007,1252.449300,7.9520E-007
1252.699200,7.7290E-007,1252.699200,7.7290E-007
1252.949100,8.2820E-007,1252.949100,8.2820E-007
1253.199000,8.5160E-007,1253.199000,8.5160E-007
1253.448900,7.7920E-007,1253.448900,7.7920E-007
1253.698800,7.9800E-007,1253.698800,7.9800E-007
1253.948700,7.8390E-007,1253.948700,7.8390E-007
1254.198600,8.1170E-007,1254.198600,8.1170E-007
1254.448500,8.4420E-007,1254.448500,8.4420E-007
1254.698400,8.2800E-007,1254.698400,8.2800E-007
1254.948300,7.9510E-007,1254.948300,7.9510E-007
1255.198200,8.4860E-007,1255.198200,8.4860E-007
1255.448100,7.7470E-007,1255.448100,7.7470E-007
1255.698000,7.9080E-007,1255.698000,7.9080E-007
1255.947900,7.8220E-007,1255.947900,7.8220E-007
1256.197800,8.3000E-007,1256.197800,8.3000E-007
1256.447700,8.3310E-007,1256.447700,8.3310E-007
1256.697600,7.9890E-007,1256.697600,7.9890E-007
1256.947500,8.2380E-007,1256.947500,8.2380E-007
1257.197400,7.7140E-007,1257.197400,7.7140E-007
1257.447300,8.0160E-007,1257.447300,8.0160E-007
1257.697200,8.2160E-007,1257.697200,8.2160E-007
1257.947100,8.2890E-007,1257.947100,8.2890E-007
1258.197000,7.9380E-007,1258.197000,7.9380E-007
1258.446900,8.0200E-007,1258.446900,8.0200E-007
1258.696800,8.2470E-007,1258.696800,8.2470E-007
1258.946700,7.8410E-007,1258.946700,7.8410E-007
1259.196600,8.2310E-007,1259.196600,8.2310E-007
1259.446500,8.2980E-007,1259.446500,8.2980E-007
1259.696400,8.0100E-007,1259.696400,8.0100E-007
1259.946300,8.0010E-007,1259.946300,8.0010E-007
1260.196200,8.6400E-007,1260.196200,8.6400E-007
1260.446100,7.4530E-007,1260.446100,7.4530E-007
1260.696000,7.6590E-007,1260.696000,7.6590E-007
1260.945900,8.4840E-007,1260.945900,8.4840E-007
1261.195800,7.6560E-007,1261.195800,7.6560E-007
1261.445700,8.2070E-007,1261.445700,8.2070E-007
1261.695600,8.2280E-007,1261.695600,8.2280E-007
1261.945500,8.1210E-007,1261.945500,8.1210E-007
1262.195400,8.1630E-007,1262.195400,8.1630E-007
1262.445300,8.1080E-007,1262.445300,8.1080E-007
1262.695200,7.8690E-007,1262.695200,7.8690E-007
1262.945100,7.8620E-007,1262.945100,7.8620E-007
1263.195000,8.4020E-007,1263.195000,8.4020E-007
1263.444900,7.7600E-007,1263.444900,7.7600E-007
1263.694800,7.6700E-007,1263.694800,7.6700E-007
1263.944700,8.1710E-007,1263.944700,8.1710E-007
1264.194600,7.6430E-007,1264.194600,7.6430E-007
1264.444500,8.0600E-007,1264.444500,8.0600E-007
1264.694400,7.5580E-007,1264.694400,7.5580E-007
1264.944300,8.1550E-007,1264.944300,8.1550E-007
1265.194200,7.6930E-007,1265.194200,7.6930E-007
1265.444100,8.6330E-007,1265.444100,8.6330E-007
1265.694000,7.8300E-007,1265.694000,7.8300E-007
1265.943900,7.9840E-007,1265.943900,7.9840E-007
1266.193800,8.1380E-007,1266.193800,8.1380E-007
1266.443700,7.9950E-007,1266.443700,7.9950E-007
1266.693600,7.9440E-007,1266.693600,7.9440E-007
1266.943500,8.3560E-007,1266.943500,8.3560E-007
1267.193400,7.6100E-007,1267.193400,7.6100E-007
1267.443300,7.2790E-007,1267.443300,7.2790E-007
1267.693200,7.9950E-007,1267.693200,7.9950E-007
1267.943100,7.9840E-007,1267.943100,7.9840E-007
1268.193000,7.8250E-007,1268.193000,7.8250E-007
1268.442900,8.2990E-007,1268.442900,8.2990E-007
1268.692800,7.8520E-007,1268.692800,7.8520E-007
1268.942700,7.9630E-007,1268.942700,7.9630E-007
1269.192600,8.3320E-007,1269.192600,8.3320E-007
1269.442500,7.7530E-007,1269.442500,7.7530E-007
1269.692400,7.6860E-007,1269.692400,7.6860E-007
1269.942300,7.8330E-007,1269.942300,7.8330E-007
1270.192200,7.7480E-007,1270.192200,7.7480E-007
1270.442100,7.6280E-007,1270.442100,7.6280E-007
1270.692000,7.8710E-007,1270.692000,7.8710E-007
1270.941900,7.3640E-007,1270.941900,7.3640E-007
1271.191800,7.9260E-007,1271.191800,7.9260E-007
1271.441700,7.9940E-007,1271.441700,7.9940E-007
1271.691600,7.5420E-007,1271.691600,7.5420E-007
1271.941500,7.6640E-007,1271.941500,7.6640E-007
1272.191400,7.8540E-007,1272.191400,7.8540E-007
1272.441300,7.6900E-007,1272.441300,7.6900E-007
1272.691200,7.6770E-007,1272.691200,7.6770E-007
1272.941100,7.9850E-007,1272.941100,7.9850E-007
1273.191000,8.3990E-007,1273.191000,8.3990E-007
1273.440900,8.1120E-007,1273.440900,8.1120E-007
1273.690800,8.3550E-007,1273.690800,8.3550E-007
1273.940700,8.3550E-007,1273.940700,8.3550E-007
1274.190600,8.0390E-007,1274.190600,8.0390E-007
1274.440500,7.8850E-007,1274.440500,7.8850E-007
1274.690400,7.4980E-007,1274.690400,7.4980E-007
1274.940300,7.1910E-007,1274.940300,7.1910E-007
1275.190200,7.6450E-007,1275.190200,7.6450E-007
1275.440100,7.7850E-007,1275.440100,7.7850E-007
1275.690000,8.2490E-007,1275.690000,8.2490E-007
1275.939900,8.3070E-007,1275.939900,8.3070E-007
1276.189800,8.0280E-007,1276.189800,8.0280E-007
1276.439700,8.0350E-007,1276.439700,8.0350E-007
1276.689600,7.7350E-007,1276.689600,7.7350E-007
1276.939500,7.9990E-007,1276.939500,7.9990E-007
1277.189400,7.8090E-007,1277.189400,7.8090E-007
1277.439300,7.5530E-007,1277.439300,7.5530E-007
1277.689200,7.7380E-007,1277.689200,7.7380E-007
1277.939100,8.0960E-007,1277.939100,8.0960E-007
1278.189000,7.4800E-007,1278.189000,7.4800E-007
1278.438900,8.4290E-007,1278.438900,8.4290E-007
1278.688800,7.5300E-007,1278.688800,7.5300E-007
1278.938700,8.0830E-007,1278.938700,8.0830E-007
1279.188600,7.7380E-007,1279.188600,7.7380E-007
1279.438500,7.6160E-007,1279.438500,7.6160E-007
1279.688400,7.9760E-007,1279.688400,7.9760E-007
1279.938300,7.9940E-007,1279.938300,7.9940E-007
1280.188200,7.9230E-007,1280.188200,7.9230E-007
1280.438100,7.8710E-007,1280.438100,7.8710E-007
1280.688000,8.0310E-007,1280.688000,8.0310E-007
1280.937900,7.5080E-007,1280.937900,7.5080E-007
1281.187800,7.9210E-007,1281.187800,7.9210E-007
1281.437700,8.0930E-007,1281.437700,8.0930E-007
1281.687600,8.0710E-007,1281.687600,8.0710E-007
1281.937500,7.4190E-007,1281.937500,7.4190E-007
1282.187400,7.7780E-007,1282.187400,7.7780E-007
1282.437300,7.8880E-007,1282.437300,7.8880E-007
1282.687200,8.4020E-007,1282.687200,8.4020E-007
1282.937100,7.8610E-007,1282.937100,7.8610E-007
1283.187000,7.3420E-007,1283.187000,7.3420E-007
1283.436900,8.0540E-007,1283.436900,8.0540E-007
1283.686800,8.2210E-007,1283.686800,8.2210E-007
1283.936700,7.6450E-007,1283.936700,7.6450E-007
1284.186600,7.8820E-007,1284.186600,7.8820E-007
1284.436500,7.4570E-007,1284.436500,7.4570E-007
1284.686400,7.5050E-007,1284.686400,7.5050E-007
1284.936300,7.7430E-007,1284.936300,7.7430E-007
1285.186200,7.9200E-007,1285.186200,7.9200E-007
1285.436100,7.5790E-007,1285.436100,7.5790E-007
1285.686000,7.4520E-007,1285.686000,7.4520E-007
1285.935900,7.6570E-007,1285.935900,7.6570E-007
1286.185800,7.9510E-007,1286.185800,7.9510E-007
1286.435700,7.5230E-007,1286.435700,7.5230E-007
1286.685600,7.1390E-007,1286.685600,7.1390E-007
1286.935500,7.2480E-007,1286.935500,7.2480E-007
1287.185400,7.3550E-007,1287.185400,7.3550E-007
1287.435300,8.1820E-007,1287.435300,8.1820E-007
1287.685200,7.6130E-007,1287.685200,7.6130E-007
1287.935100,7.8050E-007,1287.935100,7.8050E-007
1288.185000,7.9500E-007,1288.185000,7.9500E-007
1288.434900,7.5070E-007,1288.434900,7.5070E-007
1288.684800,7.8820E-007,1288.684800,7.8820E-007
1288.934700,7.9650E-007,1288.934700,7.9650E-007
1289.184600,7.7690E-007,1289.184600,7.7690E-007
1289.434500,7.8220E-007,1289.434500,7.8220E-007
1289.684400,7.4860E-007,1289.684400,7.4860E-007
1289.934300,7.6470E-007,1289.934300,7.6470E-007
1290.184200,7.8940E-007,1290.184200,7.8940E-007
1290.434100,7.2890E-007,1290.434100,7.2890E-007
1290.684000,7.8210E-007,1290.684000,7.8210E-007
1290.933900,7.7310E-007,1290.933900,7.7310E-007
1291.183800,7.6070E-007,1291.183800,7.6070E-007
1291.433700,7.3730E-007,1291.433700,7.3730E-007
1291.683600,7.9020E-007,1291.683600,7.9020E-007
1291.933500,7.5350E-007,1291.933500,7.5350E-007
1292.183400,7.3880E-007,1292.183400,7.3880E-007
1292.433300,7.6140E-007,1292.433300,7.6140E-007
1292.683200,7.7770E-007,1292.683200,7.7770E-007
1292.933100,7.2720E-007,1292.933100,7.2720E-007
1293.183000,7.6640E-007,1293.183000,7.6640E-007
1293.432900,7.8580E-007,1293.432900,7.8580E-007
1293.682800,7.8420E-007,1293.682800,7.8420E-007
1293.932700,7.4390E-007,1293.932700,7.4390E-007
1294.182600,7.5360E-007,1294.182600,7.5360E-007
1294.432500,7.7030E-007,1294.432500,7.7030E-007
1294.682400,7.7300E-007,1294.682400,7.7300E-007
1294.932300,7.2950E-007,1294.932300,7.2950E-007
1295.182200,7.6630E-007,1295.182200,7.6630E-007
1295.432100,7.2410E-007,1295.432100,7.2410E-007
1295.682000,7.3600E-007,1295.682000,7.3600E-007
1295.931900,7.8510E-007,1295.931900,7.8510E-007
1296.181800,7.1140E-007,1296.181800,7.1140E-007
1296.431700,8.1010E-007,1296.431700,8.1010E-007
1296.681600,7.5250E-007,1296.681600,7.5250E-007
1296.931500,7.4260E-007,1296.931500,7.4260E-007
1297.181400,7.8500E-007,1297.181400,7.8500E-007
