File,WaveData20230210_033.csv,
Date/Time,23-02-10/21:42,

Trace,A
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm
Trace,B
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.700000,8.4790E-007,1250.700000,8.4790E-007
1250.949900,8.7130E-007,1250.949900,8.7130E-007
1251.199800,8.9780E-007,1251.199800,8.9780E-007
1251.449700,8.4010E-007,1251.449700,8.4010E-007
1251.699600,8.6510E-007,1251.699600,8.6510E-007
1251.949500,8.5260E-007,1251.949500,8.5260E-007
1252.199400,8.0160E-007,1252.199400,8.0160E-007
1252.449300,8.0530E-007,1252.449300,8.0530E-007
1252.699200,8.5860E-007,1252.699200,8.5860E-007
1252.949100,8.5620E-007,1252.949100,8.5620E-007
1253.199000,8.4170E-007,1253.199000,8.4170E-007
1253.448900,8.5330E-007,1253.448900,8.5330E-007
1253.698800,8.4800E-007,1253.698800,8.4800E-007
1253.948700,8.4970E-007,1253.948700,8.4970E-007
1254.198600,7.9360E-007,1254.198600,7.9360E-007
1254.448500,7.9960E-007,1254.448500,7.9960E-007
1254.698400,8.5040E-007,1254.698400,8.5040E-007
1254.948300,8.5280E-007,1254.948300,8.5280E-007
1255.198200,8.6080E-007,1255.198200,8.6080E-007
1255.448100,8.3040E-007,1255.448100,8.3040E-007
1255.698000,8.2380E-007,1255.698000,8.2380E-007
1255.947900,8.4630E-007,1255.947900,8.4630E-007
1256.197800,7.4950E-007,1256.197800,7.4950E-007
1256.447700,8.4930E-007,1256.447700,8.4930E-007
1256.697600,8.4160E-007,1256.697600,8.4160E-007
1256.947500,8.5180E-007,1256.947500,8.5180E-007
1257.197400,8.6900E-007,1257.197400,8.6900E-007
